t,ref,resp,err
0.000000,0.349066,0.346189,-0.002877
0.010063,0.349066,0.346189,-0.002877
0.020123,0.349066,0.346189,-0.002877
0.030185,0.349066,0.346189,-0.002877
0.040245,0.349066,0.346189,-0.002877
0.050307,0.349066,0.346189,-0.002877
0.060369,0.349066,0.346189,-0.002877
0.070430,0.349066,0.346189,-0.002877
0.080493,0.349066,0.346189,-0.002877
0.090558,0.349066,0.346189,-0.002877
0.100621,0.349066,0.346189,-0.002877
0.110684,0.349066,0.346189,-0.002877
0.120747,0.349066,0.346189,-0.002877
0.130799,0.349066,0.346189,-0.002877
0.140861,0.349066,0.346189,-0.002877
0.150924,0.349066,0.346189,-0.002877
0.160987,0.349066,0.346189,-0.002877
0.171000,0.349066,0.346189,-0.002877
0.181055,0.349066,0.346189,-0.002877
0.191118,0.349066,0.346189,-0.002877
0.201181,0.349066,0.346189,-0.002877
0.211245,0.349066,0.346189,-0.002877
0.221307,0.349066,0.346189,-0.002877
0.231370,0.349066,0.346189,-0.002877
0.241434,0.349066,0.346189,-0.002877
0.251497,0.349066,0.346189,-0.002877
0.261558,0.349066,0.346189,-0.002877
0.271622,0.349066,0.346189,-0.002877
0.281686,0.349066,0.346189,-0.002877
0.291748,0.349066,0.346189,-0.002877
0.301770,0.349066,0.346189,-0.002877
0.311823,0.349066,0.346189,-0.002877
0.321874,0.349066,0.346189,-0.002877
0.331928,0.349066,0.346189,-0.002877
0.341980,0.349066,0.346189,-0.002877
0.352033,0.349066,0.346189,-0.002877
0.362084,0.349066,0.346189,-0.002877
0.372137,0.349066,0.346189,-0.002877
0.382189,0.349066,0.346189,-0.002877
0.392241,0.349066,0.346189,-0.002877
0.402293,0.349066,0.346189,-0.002877
0.412346,0.349066,0.346189,-0.002877
0.422398,0.349066,0.346189,-0.002877
0.432450,0.349066,0.346189,-0.002877
0.442501,0.349066,0.346189,-0.002877
0.452565,0.349066,0.346189,-0.002877
0.462628,0.349066,0.346189,-0.002877
0.472681,0.349066,0.346189,-0.002877
0.482733,0.349066,0.346189,-0.002877
0.492787,0.349066,0.346189,-0.002877
0.502838,0.349066,0.346189,-0.002877
0.512891,0.349066,0.346189,-0.002877
0.522943,0.349066,0.346189,-0.002877
0.532999,0.349066,0.346189,-0.002877
0.543053,0.349066,0.346189,-0.002877
0.553106,0.349066,0.346189,-0.002877
0.563158,0.349066,0.346189,-0.002877
0.573210,0.349066,0.346189,-0.002877
0.583263,0.349066,0.346189,-0.002877
0.593315,0.349066,0.346189,-0.002877
0.603367,0.349066,0.346189,-0.002877
0.613419,0.349066,0.346189,-0.002877
0.623472,0.349066,0.346189,-0.002877
0.633524,0.349066,0.346189,-0.002877
0.643576,0.349066,0.346189,-0.002877
0.653629,0.349066,0.346189,-0.002877
0.663682,0.349066,0.346189,-0.002877
0.673733,0.349066,0.346189,-0.002877
