t,px,py,pz,qw,qx,qy,qz
0.633809,0.140580,-0.051173,0.312291,0.976383,-0.022666,-0.128543,-0.172163
0.643873,0.140579,-0.051173,0.312347,0.976383,-0.022666,-0.128543,-0.172163
0.653938,0.140577,-0.051173,0.312406,0.976383,-0.022666,-0.128543,-0.172163
0.664001,0.140575,-0.051173,0.312466,0.976383,-0.022666,-0.128543,-0.172163
0.674064,0.140573,-0.051173,0.312528,0.976383,-0.022666,-0.128543,-0.172163
0.684128,0.140571,-0.051173,0.312591,0.976383,-0.022666,-0.128543,-0.172163
0.694193,0.140569,-0.051173,0.312656,0.976383,-0.022666,-0.128543,-0.172163
0.704262,0.140566,-0.051173,0.312724,0.976383,-0.022666,-0.128543,-0.172163
0.714326,0.140564,-0.051173,0.312793,0.976383,-0.022666,-0.128543,-0.172163
0.724390,0.140561,-0.051173,0.312864,0.976383,-0.022666,-0.128543,-0.172163
0.734455,0.140558,-0.051173,0.312938,0.976383,-0.022666,-0.128543,-0.172163
0.744518,0.140554,-0.051173,0.313012,0.976383,-0.022666,-0.128543,-0.172163
0.754579,0.140551,-0.051173,0.313089,0.976383,-0.022666,-0.128543,-0.172163
0.764633,0.140547,-0.051173,0.313168,0.976383,-0.022666,-0.128543,-0.172163
0.774687,0.140543,-0.051173,0.313248,0.976383,-0.022666,-0.128543,-0.172163
0.784749,0.140539,-0.051173,0.313331,0.976383,-0.022666,-0.128543,-0.172163
0.794813,0.140534,-0.051173,0.313416,0.976383,-0.022666,-0.128543,-0.172163
0.804878,0.140529,-0.051173,0.313503,0.976383,-0.022666,-0.128543,-0.172163
0.814941,0.140524,-0.051173,0.313592,0.976383,-0.022666,-0.128543,-0.172163
0.825000,0.140512,-0.051173,0.313776,0.976383,-0.022666,-0.128543,-0.172163
0.835061,0.140506,-0.051173,0.313871,0.976383,-0.022666,-0.128543,-0.172163
0.845122,0.140499,-0.051173,0.313969,0.976383,-0.022666,-0.128543,-0.172163
0.855185,0.140492,-0.051173,0.314068,0.976383,-0.022666,-0.128543,-0.172163
0.865245,0.140485,-0.051173,0.314169,0.976383,-0.022666,-0.128543,-0.172163
0.875307,0.140477,-0.051173,0.314273,0.976383,-0.022666,-0.128543,-0.172163
0.885371,0.140469,-0.051173,0.314380,0.976383,-0.022666,-0.128543,-0.172163
0.895430,0.140460,-0.051173,0.314487,0.976383,-0.022666,-0.128543,-0.172163
0.905492,0.140451,-0.051173,0.314599,0.976383,-0.022666,-0.128543,-0.172163
0.915556,0.140441,-0.051173,0.314711,0.976383,-0.022666,-0.128543,-0.172163
0.925618,0.140431,-0.051173,0.314826,0.976383,-0.022666,-0.128543,-0.172163
0.935681,0.140420,-0.051173,0.314944,0.976383,-0.022666,-0.128543,-0.172163
0.945740,0.140408,-0.051173,0.315063,0.976383,-0.022666,-0.128543,-0.172163
0.955804,0.140396,-0.051173,0.315185,0.976383,-0.022666,-0.128543,-0.172163
0.965867,0.140384,-0.051173,0.315309,0.976383,-0.022666,-0.128543,-0.172163
0.975932,0.140371,-0.051173,0.315436,0.976383,-0.022666,-0.128543,-0.172163
0.985994,0.140357,-0.051173,0.315564,0.976383,-0.022666,-0.128543,-0.172163
0.996056,0.140342,-0.051173,0.315695,0.976383,-0.022666,-0.128543,-0.172163
1.006119,0.140327,-0.051173,0.315829,0.976383,-0.022666,-0.128543,-0.172163
1.016185,0.140311,-0.051173,0.315965,0.976383,-0.022666,-0.128543,-0.172163
1.026250,0.140294,-0.051173,0.316103,0.976383,-0.022666,-0.128543,-0.172163
1.036311,0.140276,-0.051173,0.316244,0.976383,-0.022666,-0.128543,-0.172163
1.046374,0.140258,-0.051173,0.316387,0.976383,-0.022666,-0.128543,-0.172163
1.056438,0.140238,-0.051173,0.316532,0.976383,-0.022666,-0.128543,-0.172163
1.066499,0.140218,-0.051173,0.316680,0.976383,-0.022666,-0.128543,-0.172163
1.076562,0.140197,-0.051173,0.316831,0.976383,-0.022666,-0.128543,-0.172163
1.086625,0.140175,-0.051173,0.316984,0.976383,-0.022666,-0.128543,-0.172163
1.096687,0.140152,-0.051173,0.317139,0.976383,-0.022666,-0.128543,-0.172163
1.106749,0.140128,-0.051173,0.317297,0.976383,-0.022666,-0.128543,-0.172163
1.116810,0.140103,-0.051173,0.317457,0.976383,-0.022666,-0.128543,-0.172163
1.126873,0.140077,-0.051173,0.317620,0.976383,-0.022666,-0.128543,-0.172163
1.136936,0.140050,-0.051173,0.317785,0.976383,-0.022666,-0.128543,-0.172163
1.146989,0.140022,-0.051173,0.317952,0.976383,-0.022666,-0.128543,-0.172163
1.157042,0.139992,-0.051173,0.318122,0.976383,-0.022666,-0.128543,-0.172163
1.167102,0.139961,-0.051173,0.318295,0.976383,-0.022666,-0.128543,-0.172163
1.177163,0.139929,-0.051173,0.318470,0.976383,-0.022666,-0.128543,-0.172163
1.187224,0.139896,-0.051173,0.318647,0.976383,-0.022666,-0.128543,-0.172163
1.197284,0.139862,-0.051173,0.318827,0.976383,-0.022666,-0.128543,-0.172163
1.207347,0.139826,-0.051173,0.319010,0.976383,-0.022666,-0.128543,-0.172163
1.217409,0.139789,-0.051173,0.319195,0.976383,-0.022666,-0.128543,-0.172163
1.227469,0.139750,-0.051173,0.319382,0.976383,-0.022666,-0.128543,-0.172163
1.237531,0.139710,-0.051173,0.319571,0.976383,-0.022666,-0.128543,-0.172163
1.247592,0.139668,-0.051173,0.319764,0.976383,-0.022666,-0.128543,-0.172163
1.257652,0.139625,-0.051173,0.319958,0.976383,-0.022666,-0.128543,-0.172163
1.267712,0.139580,-0.051173,0.320155,0.976383,-0.022666,-0.128543,-0.172163
1.277775,0.139534,-0.051173,0.320355,0.976383,-0.022666,-0.128543,-0.172163
1.287836,0.139486,-0.051173,0.320557,0.976383,-0.022666,-0.128543,-0.172163
1.297899,0.139436,-0.051173,0.320761,0.976383,-0.022666,-0.128543,-0.172163
1.307954,0.139385,-0.051173,0.320968,0.976383,-0.022666,-0.128543,-0.172163
1.318017,0.139331,-0.051173,0.321178,0.976383,-0.022666,-0.128543,-0.172163
1.328077,0.139276,-0.051173,0.321390,0.976383,-0.022666,-0.128543,-0.172163
1.338142,0.139220,-0.051173,0.321603,0.976383,-0.022666,-0.128543,-0.172163
1.348209,0.139160,-0.051173,0.321820,0.976383,-0.022666,-0.128543,-0.172163
1.358270,0.139100,-0.051173,0.322038,0.976383,-0.022666,-0.128543,-0.172163
1.368332,0.139037,-0.051173,0.322259,0.976383,-0.022666,-0.128543,-0.172163
1.378397,0.138972,-0.051173,0.322483,0.976383,-0.022666,-0.128543,-0.172163
1.388450,0.138905,-0.051173,0.322709,0.976383,-0.022666,-0.128543,-0.172163
1.398512,0.138835,-0.051173,0.322937,0.976383,-0.022666,-0.128543,-0.172163
1.408565,0.138764,-0.051173,0.323166,0.976383,-0.022666,-0.128543,-0.172163
1.418626,0.138691,-0.051173,0.323399,0.976383,-0.022666,-0.128543,-0.172163
1.428694,0.138615,-0.051173,0.323634,0.976383,-0.022666,-0.128543,-0.172163
1.438748,0.138536,-0.051173,0.323871,0.976383,-0.022666,-0.128543,-0.172163
1.448811,0.138455,-0.051173,0.324110,0.976383,-0.022666,-0.128543,-0.172163
1.458847,0.138373,-0.051173,0.324351,0.976383,-0.022666,-0.128543,-0.172163
1.468903,0.138287,-0.051173,0.324594,0.976383,-0.022666,-0.128543,-0.172163
1.478963,0.138199,-0.051173,0.324840,0.976383,-0.022666,-0.128543,-0.172163
1.489026,0.138108,-0.051173,0.325088,0.976383,-0.022666,-0.128543,-0.172163
1.499088,0.138015,-0.051173,0.325338,0.976383,-0.022666,-0.128543,-0.172163
1.509141,0.137919,-0.051173,0.325589,0.976383,-0.022666,-0.128543,-0.172163
1.519202,0.137820,-0.051173,0.325842,0.976383,-0.022666,-0.128543,-0.172163
1.529262,0.137718,-0.051173,0.326098,0.976383,-0.022666,-0.128543,-0.172163
1.539326,0.137614,-0.051173,0.326356,0.976383,-0.022666,-0.128543,-0.172163
1.549387,0.137507,-0.051173,0.326615,0.976383,-0.022666,-0.128543,-0.172163
1.559452,0.137397,-0.051173,0.326876,0.976383,-0.022666,-0.128543,-0.172163
1.569514,0.137283,-0.051173,0.327139,0.976383,-0.022666,-0.128543,-0.172163
1.579575,0.137167,-0.051173,0.327405,0.976383,-0.022666,-0.128543,-0.172163
1.589628,0.137048,-0.051173,0.327671,0.976383,-0.022666,-0.128543,-0.172163
1.599677,0.136926,-0.051173,0.327939,0.976383,-0.022666,-0.128543,-0.172163
1.609741,0.136800,-0.051173,0.328209,0.976383,-0.022666,-0.128543,-0.172163
1.619806,0.136671,-0.051173,0.328480,0.976383,-0.022666,-0.128543,-0.172163
1.629866,0.136539,-0.051173,0.328753,0.976383,-0.022666,-0.128543,-0.172163
1.639919,0.136404,-0.051173,0.329028,0.976383,-0.022666,-0.128543,-0.172163
1.649983,0.136265,-0.051173,0.329304,0.976383,-0.022666,-0.128543,-0.172163
1.660045,0.136123,-0.051173,0.329581,0.976383,-0.022666,-0.128543,-0.172163
1.670107,0.135977,-0.051173,0.329860,0.976383,-0.022666,-0.128543,-0.172163
1.680167,0.135828,-0.051173,0.330141,0.976383,-0.022666,-0.128543,-0.172163
1.690217,0.135676,-0.051173,0.330422,0.976383,-0.022666,-0.128543,-0.172163
1.700277,0.135519,-0.051173,0.330705,0.976383,-0.022666,-0.128543,-0.172163
1.710340,0.135359,-0.051173,0.330989,0.976383,-0.022666,-0.128543,-0.172163
1.720403,0.135196,-0.051173,0.331273,0.976383,-0.022666,-0.128543,-0.172163
1.730463,0.135028,-0.051173,0.331559,0.976383,-0.022666,-0.128543,-0.172163
1.740513,0.134857,-0.051173,0.331845,0.976383,-0.022666,-0.128543,-0.172163
1.750573,0.134682,-0.051173,0.332133,0.976383,-0.022666,-0.128543,-0.172163
1.760636,0.134503,-0.051173,0.332422,0.976383,-0.022666,-0.128543,-0.172163
1.770701,0.134320,-0.051173,0.332711,0.976383,-0.022666,-0.128543,-0.172163
1.780762,0.134133,-0.051173,0.333002,0.976383,-0.022666,-0.128543,-0.172163
1.790818,0.133942,-0.051173,0.333293,0.976383,-0.022666,-0.128543,-0.172163
1.800881,0.133748,-0.051173,0.333584,0.976383,-0.022666,-0.128543,-0.172163
1.810940,0.133549,-0.051173,0.333876,0.976383,-0.022666,-0.128543,-0.172163
1.821003,0.133346,-0.051173,0.334168,0.976383,-0.022666,-0.128543,-0.172163
1.831067,0.133139,-0.051173,0.334461,0.976383,-0.022666,-0.128543,-0.172163
1.841131,0.132927,-0.051173,0.334754,0.976383,-0.022666,-0.128543,-0.172163
1.851194,0.132712,-0.051173,0.335047,0.976383,-0.022666,-0.128543,-0.172163
1.861256,0.132492,-0.051173,0.335340,0.976383,-0.022666,-0.128543,-0.172163
1.871315,0.132268,-0.051173,0.335633,0.976383,-0.022666,-0.128543,-0.172163
1.881376,0.132039,-0.051173,0.335927,0.976383,-0.022666,-0.128543,-0.172163
1.891436,0.131807,-0.051173,0.336220,0.976383,-0.022666,-0.128543,-0.172163
1.901497,0.131569,-0.051173,0.336513,0.976383,-0.022666,-0.128543,-0.172163
1.911562,0.131328,-0.051173,0.336806,0.976383,-0.022666,-0.128543,-0.172163
1.921622,0.131081,-0.051173,0.337099,0.976383,-0.022666,-0.128543,-0.172163
1.931684,0.130830,-0.051173,0.337391,0.976383,-0.022666,-0.128543,-0.172163
1.941749,0.130576,-0.051173,0.337683,0.976383,-0.022666,-0.128543,-0.172163
1.951813,0.130316,-0.051173,0.337974,0.976383,-0.022666,-0.128543,-0.172163
1.961845,0.130052,-0.051173,0.338264,0.976383,-0.022666,-0.128543,-0.172163
1.971900,0.129783,-0.051173,0.338554,0.976383,-0.022666,-0.128543,-0.172163
1.981952,0.129510,-0.051173,0.338842,0.976383,-0.022666,-0.128543,-0.172163
1.992032,0.129232,-0.051173,0.339131,0.976383,-0.022666,-0.128543,-0.172163
2.002084,0.128949,-0.051173,0.339417,0.976383,-0.022666,-0.128543,-0.172163
2.012136,0.128662,-0.051173,0.339703,0.976383,-0.022666,-0.128543,-0.172163
2.022189,0.128370,-0.051173,0.339987,0.976383,-0.022666,-0.128543,-0.172163
2.032241,0.128074,-0.051173,0.340270,0.976383,-0.022666,-0.128543,-0.172163
2.042294,0.127773,-0.051173,0.340552,0.976383,-0.022666,-0.128543,-0.172163
2.052346,0.127468,-0.051173,0.340832,0.976383,-0.022666,-0.128543,-0.172163
2.062399,0.127157,-0.051173,0.341111,0.976383,-0.022666,-0.128543,-0.172163
2.072450,0.126842,-0.051173,0.341388,0.976383,-0.022666,-0.128543,-0.172163
2.082499,0.126522,-0.051173,0.341663,0.976383,-0.022666,-0.128543,-0.172163
2.092551,0.126197,-0.051173,0.341936,0.976383,-0.022666,-0.128543,-0.172163
2.102603,0.125868,-0.051173,0.342208,0.976383,-0.022666,-0.128543,-0.172163
2.112655,0.125534,-0.051173,0.342477,0.976383,-0.022666,-0.128543,-0.172163
2.122706,0.125195,-0.051173,0.342744,0.976383,-0.022666,-0.128543,-0.172163
2.132756,0.124853,-0.051173,0.343008,0.976383,-0.022666,-0.128543,-0.172163
2.142806,0.124505,-0.051173,0.343270,0.976383,-0.022666,-0.128543,-0.172163
2.152830,0.124152,-0.051173,0.343530,0.976383,-0.022666,-0.128543,-0.172163
2.162881,0.123796,-0.051173,0.343787,0.976383,-0.022666,-0.128543,-0.172163
2.172932,0.123433,-0.051173,0.344042,0.976383,-0.022666,-0.128543,-0.172163
2.182985,0.123067,-0.051173,0.344294,0.976383,-0.022666,-0.128543,-0.172163
2.193036,0.122697,-0.051173,0.344542,0.976383,-0.022666,-0.128543,-0.172163
2.203088,0.122321,-0.051173,0.344788,0.976383,-0.022666,-0.128543,-0.172163
2.213140,0.121942,-0.051173,0.345031,0.976383,-0.022666,-0.128543,-0.172163
2.223191,0.121557,-0.051173,0.345271,0.976383,-0.022666,-0.128543,-0.172163
2.233243,0.121168,-0.051173,0.345507,0.976383,-0.022666,-0.128543,-0.172163
2.243321,0.120775,-0.051173,0.345739,0.976383,-0.022666,-0.128543,-0.172163
2.253373,0.120377,-0.051173,0.345969,0.976383,-0.022666,-0.128543,-0.172163
2.263425,0.119976,-0.051173,0.346194,0.976383,-0.022666,-0.128543,-0.172163
2.273436,0.119570,-0.051173,0.346416,0.976383,-0.022666,-0.128543,-0.172163
2.283485,0.119159,-0.051173,0.346635,0.976383,-0.022666,-0.128543,-0.172163
2.293538,0.118744,-0.051173,0.346849,0.976383,-0.022666,-0.128543,-0.172163
2.303591,0.118326,-0.051173,0.347059,0.976383,-0.022666,-0.128543,-0.172163
2.313644,0.117902,-0.051173,0.347265,0.976383,-0.022666,-0.128543,-0.172163
2.323695,0.117475,-0.051173,0.347467,0.976383,-0.022666,-0.128543,-0.172163
2.333746,0.117044,-0.051173,0.347664,0.976383,-0.022666,-0.128543,-0.172163
2.343795,0.116608,-0.051173,0.347858,0.976383,-0.022666,-0.128543,-0.172163
2.353839,0.116170,-0.051173,0.348046,0.976383,-0.022666,-0.128543,-0.172163
2.363888,0.115727,-0.051173,0.348230,0.976383,-0.022666,-0.128543,-0.172163
2.373940,0.115280,-0.051173,0.348410,0.976383,-0.022666,-0.128543,-0.172163
2.383988,0.114830,-0.051173,0.348585,0.976383,-0.022666,-0.128543,-0.172163
2.394038,0.114376,-0.051173,0.348754,0.976383,-0.022666,-0.128543,-0.172163
2.404089,0.113919,-0.051172,0.348919,0.976383,-0.022666,-0.128543,-0.172163
2.414139,0.113457,-0.051172,0.349079,0.976383,-0.022666,-0.128543,-0.172163
2.424190,0.112992,-0.051172,0.349233,0.976383,-0.022666,-0.128543,-0.172163
2.434240,0.112525,-0.051172,0.349383,0.976383,-0.022666,-0.128543,-0.172163
2.444290,0.112053,-0.051172,0.349527,0.976383,-0.022666,-0.128543,-0.172163
2.454342,0.111579,-0.051172,0.349665,0.976383,-0.022666,-0.128543,-0.172163
2.464394,0.111101,-0.051172,0.349799,0.976383,-0.022666,-0.128543,-0.172163
2.474446,0.110621,-0.051172,0.349926,0.976383,-0.022666,-0.128543,-0.172163
2.484495,0.110137,-0.051172,0.350048,0.976383,-0.022666,-0.128543,-0.172163
2.494560,0.109651,-0.051172,0.350164,0.976383,-0.022666,-0.128543,-0.172163
2.504612,0.109162,-0.051172,0.350275,0.976383,-0.022666,-0.128543,-0.172163
2.514663,0.108670,-0.051172,0.350379,0.976383,-0.022666,-0.128543,-0.172163
2.524714,0.108176,-0.051172,0.350478,0.976383,-0.022666,-0.128543,-0.172163
2.534763,0.107678,-0.051172,0.350571,0.976383,-0.022666,-0.128543,-0.172163
2.544818,0.107179,-0.051172,0.350657,0.976383,-0.022666,-0.128543,-0.172163
2.554879,0.106678,-0.051172,0.350738,0.976383,-0.022666,-0.128543,-0.172163
2.564932,0.106175,-0.051172,0.350812,0.976383,-0.022666,-0.128543,-0.172163
2.574981,0.105669,-0.051172,0.350880,0.976383,-0.022666,-0.128543,-0.172163
2.585033,0.104651,-0.051172,0.350997,0.976383,-0.022666,-0.128543,-0.172163
2.595087,0.104140,-0.051172,0.351046,0.976383,-0.022666,-0.128543,-0.172163
2.605151,0.103627,-0.051172,0.351088,0.976383,-0.022666,-0.128543,-0.172163
2.615212,0.103113,-0.051172,0.351124,0.976383,-0.022666,-0.128543,-0.172163
2.625273,0.102597,-0.051172,0.351153,0.976383,-0.022666,-0.128543,-0.172163
2.635340,0.102079,-0.051172,0.351175,0.976383,-0.022666,-0.128543,-0.172163
2.645400,0.101561,-0.051172,0.351191,0.976383,-0.022666,-0.128543,-0.172163
2.655463,0.101041,-0.051172,0.351200,0.976383,-0.022666,-0.128543,-0.172163
2.665522,0.100521,-0.051172,0.351203,0.976383,-0.022666,-0.128543,-0.172163
2.675584,0.100000,-0.051172,0.351198,0.976383,-0.022666,-0.128543,-0.172163
2.685645,0.099479,-0.051172,0.351187,0.976383,-0.022666,-0.128543,-0.172163
2.695707,0.098956,-0.051172,0.351169,0.976383,-0.022666,-0.128543,-0.172163
2.705767,0.098432,-0.051172,0.351144,0.976383,-0.022666,-0.128543,-0.172163
2.715820,0.097909,-0.051172,0.351113,0.976383,-0.022666,-0.128543,-0.172163
2.725831,0.097386,-0.051172,0.351074,0.976383,-0.022666,-0.128543,-0.172163
2.735881,0.096862,-0.051172,0.351028,0.976383,-0.022666,-0.128543,-0.172163
2.745944,0.096339,-0.051172,0.350976,0.976383,-0.022666,-0.128543,-0.172163
2.756006,0.095816,-0.051172,0.350916,0.976383,-0.022666,-0.128543,-0.172163
2.766071,0.095293,-0.051172,0.350850,0.976383,-0.022666,-0.128543,-0.172163
2.776125,0.094770,-0.051172,0.350776,0.976383,-0.022666,-0.128543,-0.172163
2.786184,0.094248,-0.051172,0.350696,0.976383,-0.022666,-0.128543,-0.172163
2.796248,0.093727,-0.051172,0.350609,0.976383,-0.022666,-0.128543,-0.172163
2.806308,0.093206,-0.051172,0.350515,0.976383,-0.022666,-0.128543,-0.172163
2.816360,0.092686,-0.051172,0.350413,0.976383,-0.022666,-0.128543,-0.172163
2.826410,0.092168,-0.051172,0.350305,0.976383,-0.022666,-0.128543,-0.172163
2.836462,0.091650,-0.051172,0.350190,0.976383,-0.022666,-0.128543,-0.172163
2.846526,0.091134,-0.051172,0.350068,0.976383,-0.022666,-0.128543,-0.172163
2.856588,0.090619,-0.051172,0.349939,0.976383,-0.022666,-0.128543,-0.172163
2.866649,0.090106,-0.051172,0.349803,0.976383,-0.022666,-0.128543,-0.172163
2.876709,0.089595,-0.051172,0.349661,0.976383,-0.022666,-0.128543,-0.172163
2.886770,0.089085,-0.051172,0.349511,0.976383,-0.022666,-0.128543,-0.172163
2.896831,0.088578,-0.051172,0.349355,0.976383,-0.022666,-0.128543,-0.172163
2.906892,0.088072,-0.051172,0.349192,0.976383,-0.022666,-0.128543,-0.172163
2.916956,0.087569,-0.051172,0.349022,0.976383,-0.022666,-0.128543,-0.172163
2.927015,0.087068,-0.051172,0.348846,0.976383,-0.022666,-0.128543,-0.172163
2.937082,0.086569,-0.051172,0.348663,0.976383,-0.022666,-0.128543,-0.172163
2.947144,0.086073,-0.051172,0.348474,0.976383,-0.022666,-0.128543,-0.172163
2.957208,0.085580,-0.051172,0.348278,0.976383,-0.022666,-0.128543,-0.172163
2.967271,0.085089,-0.051172,0.348075,0.976383,-0.022666,-0.128543,-0.172163
2.977331,0.084602,-0.051172,0.347866,0.976383,-0.022666,-0.128543,-0.172163
2.987391,0.084117,-0.051172,0.347651,0.976383,-0.022666,-0.128543,-0.172163
2.997451,0.083635,-0.051172,0.347429,0.976383,-0.022666,-0.128543,-0.172163
3.007511,0.083158,-0.051172,0.347202,0.976383,-0.022666,-0.128543,-0.172163
3.017571,0.082682,-0.051172,0.346968,0.976383,-0.022666,-0.128543,-0.172163
3.027632,0.082212,-0.051172,0.346728,0.976383,-0.022666,-0.128543,-0.172163
3.037696,0.081744,-0.051172,0.346482,0.976383,-0.022666,-0.128543,-0.172163
3.047755,0.081280,-0.051172,0.346230,0.976383,-0.022666,-0.128543,-0.172163
3.057818,0.080819,-0.051172,0.345972,0.976383,-0.022666,-0.128543,-0.172163
3.067877,0.080363,-0.051172,0.345709,0.976383,-0.022666,-0.128543,-0.172163
3.077938,0.079910,-0.051172,0.345439,0.976383,-0.022666,-0.128543,-0.172163
3.087998,0.079462,-0.051172,0.345164,0.976383,-0.022666,-0.128543,-0.172163
3.098058,0.079018,-0.051172,0.344884,0.976383,-0.022666,-0.128543,-0.172163
3.108120,0.078578,-0.051172,0.344598,0.976383,-0.022666,-0.128543,-0.172163
3.118182,0.078142,-0.051172,0.344307,0.976383,-0.022666,-0.128543,-0.172163
3.128245,0.077712,-0.051172,0.344011,0.976383,-0.022666,-0.128543,-0.172163
3.138309,0.077286,-0.051172,0.343709,0.976383,-0.022666,-0.128543,-0.172163
3.148363,0.076864,-0.051172,0.343402,0.976383,-0.022666,-0.128543,-0.172163
3.158416,0.076447,-0.051172,0.343091,0.976383,-0.022666,-0.128543,-0.172163
3.168484,0.076034,-0.051172,0.342774,0.976383,-0.022666,-0.128543,-0.172163
3.178546,0.075627,-0.051172,0.342453,0.976383,-0.022666,-0.128543,-0.172163
