t,ref,resp,err,eff
0.000000,-0.610865,-0.610170,0.000695,-4.656410
0.010060,-0.610865,-0.610170,0.000695,-5.025641
0.020121,-0.610865,-0.610170,0.000695,-5.107692
0.030182,-0.610865,-0.610170,0.000695,-4.574359
0.040242,-0.610865,-0.610170,0.000695,-4.328205
0.050294,-0.610865,-0.610170,0.000695,-5.435897
0.060356,-0.610865,-0.610170,0.000695,-5.025641
0.070415,-0.610865,-0.610170,0.000695,-5.271795
0.080476,-0.610865,-0.610170,0.000695,-5.353846
0.090536,-0.610865,-0.610170,0.000695,-4.943590
0.100597,-0.610865,-0.610170,0.000695,-5.600000
0.110657,-0.610865,-0.610170,0.000695,-4.574359
0.120718,-0.610865,-0.610170,0.000695,-5.271795
0.130777,-0.610865,-0.610170,0.000695,-5.435897
0.140830,-0.610865,-0.610170,0.000695,-4.943590
0.150891,-0.610865,-0.610170,0.000695,-4.738462
0.160951,-0.610865,-0.610170,0.000695,-5.435897
0.171003,-0.610865,-0.610170,0.000695,-4.779487
0.181064,-0.610865,-0.610170,0.000695,-5.435897
0.191115,-0.610865,-0.610170,0.000695,-6.092308
0.201175,-0.610865,-0.610170,0.000695,-4.451282
0.211234,-0.610865,-0.610170,0.000695,-5.025641
0.221295,-0.610865,-0.610170,0.000695,-4.574359
0.231355,-0.610865,-0.610170,0.000695,-4.656410
0.241416,-0.610865,-0.610170,0.000695,-5.600000
0.251476,-0.610865,-0.610170,0.000695,-4.492308
0.261537,-0.610865,-0.610170,0.000695,-4.943590
0.271597,-0.610865,-0.610170,0.000695,-5.846154
0.281661,-0.610865,-0.610170,0.000695,-4.574359
0.291720,-0.610865,-0.610170,0.000695,-5.025641
0.301781,-0.610865,-0.610170,0.000695,-5.271795
0.311841,-0.610865,-0.610170,0.000695,-4.943590
0.321902,-0.610865,-0.610170,0.000695,-5.435897
0.331963,-0.610865,-0.610170,0.000695,-4.820513
0.342023,-0.610865,-0.610170,0.000695,-5.107692
0.352091,-0.610865,-0.610170,0.000695,-4.246154
0.362153,-0.610865,-0.610170,0.000695,-5.025641
0.372215,-0.610865,-0.610170,0.000695,-4.943590
0.382278,-0.610865,-0.610170,0.000695,-5.189744
0.392337,-0.610865,-0.610170,0.000695,-5.600000
0.402398,-0.610865,-0.610170,0.000695,-4.246154
0.412459,-0.610865,-0.610170,0.000695,-5.107692
0.422520,-0.610865,-0.610170,0.000695,-5.271795
0.432584,-0.610865,-0.610170,0.000695,-5.353846
0.442645,-0.610865,-0.610170,0.000695,-5.107692
0.452698,-0.610865,-0.610170,0.000695,-4.246154
0.462760,-0.610865,-0.610170,0.000695,-4.779487
0.472823,-0.610865,-0.610170,0.000695,-4.246154
0.482885,-0.610865,-0.610170,0.000695,-5.435897
0.493045,-0.610865,-0.610170,0.000695,-4.943590
0.503106,-0.610865,-0.610170,0.000695,-5.764103
0.513232,-0.610865,-0.610170,0.000695,-4.574359
0.523293,-0.610865,-0.610170,0.000695,-5.682051
0.533356,-0.610865,-0.610170,0.000695,-4.246154
0.543420,-0.610865,-0.610170,0.000695,-5.435897
0.553481,-0.610865,-0.610170,0.000695,-5.189744
0.563542,-0.610865,-0.610170,0.000695,-5.189744
0.573603,-0.610865,-0.610170,0.000695,-4.492308
0.583664,-0.610865,-0.610170,0.000695,-4.943590
0.593724,-0.610865,-0.610170,0.000695,-4.574359
0.603787,-0.610865,-0.610170,0.000695,-4.656410
0.613847,-0.610865,-0.610170,0.000695,-4.492308
0.623908,-0.610865,-0.610170,0.000695,-5.189744
0.633968,-0.610865,-0.610170,0.000695,-5.271795
0.644022,-0.610865,-0.610170,0.000695,-5.107692
0.654084,-0.610865,-0.610170,0.000695,-4.943590
0.664144,-0.610865,-0.610170,0.000695,-4.943590
0.674207,-0.610865,-0.610170,0.000695,-4.410256
0.684267,-0.610865,-0.610170,0.000695,-5.682051
0.694320,-0.610865,-0.610170,0.000695,-5.189744
0.704371,-0.610865,-0.610170,0.000695,-5.189744
0.714431,-0.610865,-0.610170,0.000695,-5.435897
0.724492,-0.610865,-0.610170,0.000695,-4.943590
0.734549,-0.610865,-0.610170,0.000695,-4.656410
0.744599,-0.610865,-0.610170,0.000695,-4.943590
0.754657,-0.610865,-0.610170,0.000695,-4.943590
0.764717,-0.610865,-0.610170,0.000695,-5.435897
0.774777,-0.610865,-0.610170,0.000695,-4.738462
0.784837,-0.610865,-0.610170,0.000695,-6.010256
0.794896,-0.610865,-0.610170,0.000695,-5.107692
0.804943,-0.610865,-0.610170,0.000695,-4.943590
0.814996,-0.610865,-0.610170,0.000695,-4.943590
0.825059,-0.610865,-0.610170,0.000695,-4.779487
0.835120,-0.610865,-0.610170,0.000695,-4.410256
0.845180,-0.610865,-0.610170,0.000695,-5.189744
0.855241,-0.610865,-0.610170,0.000695,-5.107692
0.865294,-0.610865,-0.610170,0.000695,-4.943590
0.875353,-0.610865,-0.610170,0.000695,-5.435897
0.885414,-0.610865,-0.610170,0.000695,-4.410256
0.895474,-0.610865,-0.610170,0.000695,-4.574359
0.905536,-0.610865,-0.610170,0.000695,-4.656410
0.915596,-0.610865,-0.610170,0.000695,-5.189744
0.925658,-0.610865,-0.610170,0.000695,-5.271795
0.935721,-0.610865,-0.610170,0.000695,-4.410256
0.945783,-0.610865,-0.610170,0.000695,-5.353846
0.955842,-0.610865,-0.610170,0.000695,-4.656410
0.965897,-0.610865,-0.610170,0.000695,-6.010256
0.975956,-0.610865,-0.610170,0.000695,-4.328205
0.986015,-0.610865,-0.610170,0.000695,-5.025641
0.996077,-0.610865,-0.610170,0.000695,-5.846154
1.006141,-0.609793,-0.610170,-0.000377,-5.846154
1.016201,-0.608038,-0.610170,-0.002133,-5.435897
1.026263,-0.606281,-0.610170,-0.003889,-4.738462
1.036323,-0.604526,-0.610170,-0.005645,-4.082051
1.046378,-0.602771,-0.610170,-0.007399,-4.943590
1.056431,-0.601016,-0.610170,-0.009154,-4.246154
1.066491,-0.599260,-0.610170,-0.010910,-3.712821
1.076553,-0.597504,-0.610170,-0.012666,-5.148718
1.086616,-0.595748,-0.610170,-0.014422,-4.205128
1.096677,-0.593992,-0.610170,-0.016178,-3.671795
1.106738,-0.592236,-0.609789,-0.017553,-4.697436
1.116799,-0.590480,-0.609789,-0.019309,-3.507692
1.126862,-0.588724,-0.609407,-0.020684,-4.943590
1.136925,-0.586967,-0.609407,-0.022440,-3.876923
1.146992,-0.585210,-0.609026,-0.023815,-4.943590
1.157042,-0.583456,-0.608644,-0.025188,-3.917949
1.167105,-0.581700,-0.607881,-0.026181,-4.697436
1.177168,-0.579944,-0.607500,-0.027556,-5.148718
1.187229,-0.578188,-0.606737,-0.028549,-4.164103
1.197281,-0.576433,-0.605592,-0.029159,-4.574359
1.207345,-0.574677,-0.604448,-0.029771,-4.246154
1.217405,-0.572921,-0.604067,-0.031146,-4.984615
1.227467,-0.571165,-0.602922,-0.031757,-4.287179
1.237526,-0.569409,-0.601778,-0.032369,-4.943590
1.247588,-0.567653,-0.599870,-0.032217,-5.066667
1.257650,-0.565897,-0.598726,-0.032829,-4.205128
1.267713,-0.564140,-0.597200,-0.033060,-4.246154
1.277777,-0.562384,-0.596056,-0.033671,-4.738462
1.287837,-0.560628,-0.593767,-0.033138,-4.738462
1.297895,-0.558873,-0.592622,-0.033749,-4.615385
1.307955,-0.557117,-0.590715,-0.033598,-4.615385
1.318018,-0.555361,-0.589189,-0.033828,-4.164103
1.328079,-0.553605,-0.586900,-0.033295,-4.369231
1.338139,-0.551849,-0.585756,-0.033907,-4.615385
1.348201,-0.550093,-0.583848,-0.033756,-4.574359
1.358253,-0.548338,-0.581941,-0.033603,-5.723077
1.368337,-0.546578,-0.579652,-0.033074,-4.738462
1.378390,-0.544824,-0.578508,-0.033684,-4.164103
1.388440,-0.543070,-0.577363,-0.034294,-5.723077
1.398503,-0.541313,-0.574311,-0.032998,-5.025641
1.408564,-0.539557,-0.573167,-0.033610,-4.533333
1.418625,-0.537801,-0.571641,-0.033840,-3.589744
1.428680,-0.536046,-0.570497,-0.034450,-4.943590
1.438741,-0.534291,-0.567826,-0.033536,-4.656410
1.448802,-0.532534,-0.566300,-0.033766,-5.312821
1.458857,-0.530780,-0.564393,-0.033613,-5.025641
1.468918,-0.529024,-0.562867,-0.033844,-5.353846
1.478971,-0.527269,-0.560578,-0.033309,-4.902564
1.489024,-0.525514,-0.559052,-0.033538,-4.492308
1.499084,-0.523759,-0.557527,-0.033768,-4.615385
1.509146,-0.522002,-0.556001,-0.033998,-5.066667
1.519206,-0.520247,-0.553712,-0.033465,-5.066667
1.529270,-0.518490,-0.552186,-0.033696,-5.312821
