t,ref,resp,err
0.000000,0.349066,0.342374,-0.006692
0.010053,0.349066,0.342374,-0.006692
0.020115,0.349066,0.342374,-0.006692
0.030167,0.349066,0.342374,-0.006692
0.040219,0.349066,0.342374,-0.006692
0.050271,0.349066,0.342374,-0.006692
0.060324,0.349066,0.342374,-0.006692
0.070386,0.349066,0.342374,-0.006692
0.080450,0.349066,0.342374,-0.006692
0.090513,0.349066,0.342374,-0.006692
0.100567,0.349066,0.342374,-0.006692
0.110619,0.349066,0.342374,-0.006692
0.120672,0.349066,0.342374,-0.006692
0.130735,0.349066,0.342374,-0.006692
0.140797,0.349066,0.342374,-0.006692
0.150859,0.349066,0.342374,-0.006692
0.160918,0.349066,0.342374,-0.006692
0.170982,0.349066,0.342374,-0.006692
0.181045,0.349066,0.342374,-0.006692
0.191109,0.349066,0.342374,-0.006692
0.201171,0.349066,0.342374,-0.006692
0.211233,0.349066,0.342374,-0.006692
0.221292,0.349066,0.342374,-0.006692
0.231453,0.349066,0.342374,-0.006692
0.241514,0.349066,0.342374,-0.006692
0.251577,0.349066,0.342374,-0.006692
0.261642,0.349066,0.342374,-0.006692
0.271704,0.349066,0.342374,-0.006692
0.281769,0.349066,0.342374,-0.006692
0.291831,0.349066,0.342374,-0.006692
0.301891,0.349066,0.342374,-0.006692
0.311953,0.349066,0.342374,-0.006692
0.322016,0.349066,0.342374,-0.006692
0.332077,0.349066,0.342374,-0.006692
0.342140,0.349066,0.342374,-0.006692
0.352199,0.349066,0.342374,-0.006692
0.362263,0.349066,0.342374,-0.006692
0.372329,0.349066,0.342374,-0.006692
0.382392,0.349066,0.342374,-0.006692
0.392453,0.349066,0.342374,-0.006692
0.402515,0.349066,0.342374,-0.006692
0.412575,0.349066,0.342374,-0.006692
0.422637,0.349066,0.342374,-0.006692
0.432702,0.349066,0.342374,-0.006692
0.442765,0.349066,0.342374,-0.006692
0.452826,0.349066,0.342374,-0.006692
0.462953,0.349066,0.342374,-0.006692
0.473017,0.349066,0.342374,-0.006692
0.483080,0.349066,0.342374,-0.006692
0.493141,0.349066,0.342374,-0.006692
0.503201,0.349066,0.342374,-0.006692
0.513262,0.349066,0.342374,-0.006692
0.523324,0.349066,0.342374,-0.006692
0.533388,0.349066,0.342374,-0.006692
0.543450,0.349066,0.342374,-0.006692
0.553504,0.349066,0.342374,-0.006692
0.563557,0.349066,0.342374,-0.006692
0.573609,0.349066,0.342374,-0.006692
0.583660,0.349066,0.342374,-0.006692
0.593713,0.349066,0.342374,-0.006692
0.603765,0.349066,0.342374,-0.006692
0.613817,0.349066,0.342374,-0.006692
0.623869,0.349066,0.342374,-0.006692
0.633911,0.349066,0.342374,-0.006692
0.643964,0.349066,0.342374,-0.006692
0.654016,0.349066,0.342374,-0.006692
0.664068,0.349066,0.342374,-0.006692
0.674221,0.349066,0.342374,-0.006692
0.684273,0.349066,0.342374,-0.006692
0.694325,0.349066,0.342374,-0.006692
0.704376,0.349066,0.342374,-0.006692
0.714428,0.349066,0.342374,-0.006692
0.724484,0.349066,0.342374,-0.006692
0.734546,0.349066,0.342374,-0.006692
0.744607,0.349066,0.342374,-0.006692
0.754667,0.349066,0.342374,-0.006692
0.764734,0.349066,0.342374,-0.006692
0.774796,0.349066,0.342374,-0.006692
0.784859,0.349066,0.342374,-0.006692
0.794915,0.349066,0.342374,-0.006692
0.804976,0.349066,0.342374,-0.006692
0.815037,0.349066,0.342374,-0.006692
0.825096,0.349066,0.342374,-0.006692
0.835160,0.349066,0.342374,-0.006692
0.845219,0.349066,0.342374,-0.006692
0.855281,0.349066,0.342374,-0.006692
0.865344,0.349066,0.342374,-0.006692
0.875406,0.349066,0.342374,-0.006692
0.885517,0.349066,0.342374,-0.006692
0.895577,0.349066,0.342374,-0.006692
0.905635,0.349066,0.342374,-0.006692
0.915696,0.349066,0.342374,-0.006692
0.925755,0.349066,0.342374,-0.006692
0.935817,0.349066,0.342374,-0.006692
0.945878,0.349066,0.342374,-0.006692
0.955914,0.349066,0.342374,-0.006692
0.965980,0.349066,0.342374,-0.006692
0.976041,0.349066,0.342374,-0.006692
0.986101,0.349066,0.342374,-0.006692
0.996159,0.349066,0.342374,-0.006692
1.006220,0.350694,0.342374,-0.008320
1.016273,0.353326,0.342374,-0.010952
1.026324,0.355958,0.342374,-0.013583
1.036376,0.358589,0.342756,-0.015833
1.046428,0.361221,0.342756,-0.018465
1.056478,0.363852,0.343137,-0.020715
1.066533,0.366484,0.343519,-0.022966
1.076583,0.369115,0.344282,-0.024834
1.086634,0.371747,0.345045,-0.026702
1.096683,0.374377,0.346571,-0.027807
1.106735,0.377009,0.347715,-0.029294
1.116847,0.379656,0.350004,-0.029653
1.126897,0.382287,0.351530,-0.030758
1.136947,0.384919,0.352674,-0.032244
1.146998,0.387550,0.355344,-0.032205
1.157048,0.390181,0.357633,-0.032548
1.167100,0.392813,0.361067,-0.031746
1.177152,0.395444,0.363737,-0.031707
1.187203,0.398076,0.366407,-0.031668
1.197256,0.400707,0.367933,-0.032774
1.207306,0.403338,0.371748,-0.031591
1.217358,0.405970,0.374418,-0.031552
1.227407,0.408601,0.378233,-0.030368
1.237460,0.411233,0.380140,-0.031092
1.247509,0.413864,0.383574,-0.030290
1.257558,0.416494,0.386244,-0.030250
1.267621,0.419129,0.390059,-0.029070
1.277684,0.421763,0.391966,-0.029797
1.287745,0.424397,0.395018,-0.029379
1.297808,0.427032,0.397307,-0.029725
1.307867,0.429665,0.400740,-0.028925
1.317929,0.432300,0.403029,-0.029271
1.327990,0.434933,0.404936,-0.029997
1.338053,0.437568,0.408370,-0.029198
1.348108,0.440200,0.410658,-0.029542
1.358165,0.442833,0.414473,-0.028360
1.368228,0.445468,0.415999,-0.029469
1.378288,0.448101,0.419432,-0.028669
1.388350,0.450736,0.421721,-0.029014
1.398410,0.453369,0.425154,-0.028215
1.408473,0.456004,0.427443,-0.028560
1.418532,0.458637,0.430114,-0.028524
1.428594,0.461272,0.432403,-0.028869
1.438654,0.463905,0.435454,-0.028451
1.448716,0.466539,0.437743,-0.028796
1.458779,0.469174,0.441176,-0.027997
1.468840,0.471808,0.443084,-0.028724
1.478901,0.474442,0.446517,-0.027925
1.488962,0.477076,0.448806,-0.028270
1.499015,0.479708,0.452239,-0.027469
1.509077,0.482342,0.454147,-0.028195
1.519140,0.484976,0.457198,-0.027778
1.529201,0.487610,0.459106,-0.028504
1.539260,0.490244,0.461395,-0.028849
1.549320,0.492878,0.464828,-0.028050
1.559380,0.495511,0.466735,-0.028776
1.569443,0.498146,0.469787,-0.028358
1.579502,0.500779,0.472076,-0.028703
1.589563,0.503413,0.475509,-0.027904
1.599624,0.506047,0.477798,-0.028249
1.609677,0.508679,0.480468,-0.028211
1.619740,0.511313,0.482757,-0.028556
1.629801,0.513947,0.486191,-0.027757
1.639863,0.516582,0.488861,-0.027721
1.649917,0.519214,0.491531,-0.027682
1.659976,0.521847,0.493439,-0.028409
1.670043,0.524483,0.496490,-0.027992
1.680105,0.527117,0.498779,-0.028338
1.690165,0.529751,0.502594,-0.027157
1.700227,0.532385,0.504501,-0.027883
1.710287,0.535019,0.507553,-0.027465
1.720348,0.537653,0.509461,-0.028192
1.730418,0.540289,0.513275,-0.027013
1.740480,0.542923,0.515183,-0.027740
1.750539,0.545556,0.517090,-0.028466
1.760601,0.548191,0.520523,-0.027667
1.770665,0.550825,0.522049,-0.028776
1.780725,0.553459,0.526246,-0.027214
1.790778,0.556091,0.528153,-0.027938
1.800830,0.558723,0.530823,-0.027899
1.810882,0.561354,0.533112,-0.028242
1.820902,0.563978,0.536545,-0.027432
1.830954,0.566609,0.539216,-0.027393
1.841005,0.569240,0.542267,-0.026973
1.851060,0.571873,0.544175,-0.027698
1.861119,0.574506,0.547608,-0.026898
1.871184,0.577141,0.549897,-0.027244
1.881243,0.579775,0.553330,-0.026444
1.891304,0.582409,0.554856,-0.027552
1.901362,0.585042,0.558289,-0.026752
1.911424,0.587676,0.560578,-0.027098
1.921485,0.590310,0.564393,-0.025917
1.931546,0.592944,0.565919,-0.027025
1.941664,0.595593,0.568589,-0.027004
1.951724,0.598227,0.570878,-0.027348
1.961785,0.600861,0.573167,-0.027694
1.971839,0.603493,0.576982,-0.026511
1.981898,0.606126,0.578508,-0.027619
1.991907,0.608747,0.581178,-0.027569
2.001966,0.611380,0.583467,-0.027913
2.012026,0.614014,0.586900,-0.027114
2.022088,0.616648,0.589570,-0.027077
2.032147,0.619281,0.592241,-0.027041
2.042208,0.621915,0.594530,-0.027386
2.052268,0.624549,0.597581,-0.026967
2.062334,0.627184,0.599870,-0.027314
2.072396,0.629818,0.603304,-0.026515
2.082449,0.632450,0.605211,-0.027239
2.092509,0.635084,0.608263,-0.026821
2.102568,0.637717,0.610552,-0.027166
2.112628,0.640351,0.614366,-0.025985
2.122687,0.642985,0.616274,-0.026711
2.132749,0.645619,0.618944,-0.026675
2.142810,0.648253,0.621233,-0.027020
2.152870,0.650887,0.624666,-0.026220
2.162935,0.653521,0.626955,-0.026566
2.172995,0.656155,0.628862,-0.027293
2.183059,0.658790,0.631914,-0.026876
2.193120,0.661424,0.633822,-0.027602
2.203182,0.664058,0.637255,-0.026803
2.213241,0.666692,0.639544,-0.027148
2.223301,0.669325,0.642214,-0.027111
2.233364,0.671960,0.644503,-0.027457
2.243425,0.674594,0.647173,-0.027421
2.253484,0.677227,0.649462,-0.027765
2.263546,0.679862,0.653277,-0.026585
2.273610,0.682496,0.655184,-0.027312
2.283675,0.685131,0.658618,-0.026514
2.293737,0.687765,0.660906,-0.026859
2.303798,0.690399,0.664721,-0.025678
2.313858,0.693033,0.666629,-0.026405
2.323920,0.695667,0.670062,-0.025606
2.333984,0.698302,0.671969,-0.026333
2.344043,0.700935,0.675784,-0.025151
2.354101,0.703569,0.677691,-0.025877
2.364160,0.706202,0.680362,-0.025841
2.374217,0.708835,0.682269,-0.026566
2.384269,0.711467,0.684176,-0.027290
2.394321,0.714098,0.687991,-0.026107
2.404373,0.716730,0.689899,-0.026831
2.414425,0.719361,0.692569,-0.026793
2.424476,0.721993,0.694858,-0.027135
2.434527,0.724624,0.697910,-0.026715
2.444587,0.727258,0.700580,-0.026678
2.454646,0.729891,0.703250,-0.026641
2.464708,0.732526,0.705158,-0.027368
2.474762,0.735158,0.708209,-0.026948
2.484824,0.737792,0.710498,-0.027294
2.494886,0.740426,0.714313,-0.026113
2.504912,0.743051,0.715839,-0.027212
2.514970,0.745684,0.718891,-0.026793
2.525033,0.748319,0.721180,-0.027139
2.535087,0.750951,0.724613,-0.026338
2.545140,0.753582,0.726902,-0.026681
2.555190,0.756214,0.729572,-0.026642
2.565251,0.758848,0.731861,-0.026987
2.575436,0.761514,0.734913,-0.026601
2.585489,0.764146,0.737583,-0.026563
2.595654,0.766807,0.740253,-0.026554
2.605715,0.769441,0.742161,-0.027280
2.615777,0.772075,0.744450,-0.027626
2.625837,0.774709,0.747501,-0.027208
2.635900,0.777343,0.750172,-0.027172
2.645963,0.779978,0.753223,-0.026755
2.656024,0.782612,0.755131,-0.027481
2.666086,0.785246,0.758183,-0.027063
2.676149,0.787881,0.760472,-0.027409
2.686211,0.790515,0.763905,-0.026610
2.696272,0.793149,0.765812,-0.027337
2.706331,0.795782,0.768864,-0.026918
2.716393,0.798416,0.770771,-0.027645
2.726452,0.801050,0.774205,-0.026845
2.736515,0.803684,0.776493,-0.027191
2.746576,0.806318,0.779164,-0.027154
