t,ref,resp,err
0.000000,-0.610865,-0.597963,0.012902
0.010064,-0.610865,-0.597963,0.012902
0.020128,-0.610865,-0.597963,0.012902
0.030192,-0.610865,-0.597963,0.012902
0.040254,-0.610865,-0.597963,0.012902
0.050316,-0.610865,-0.597963,0.012902
0.060380,-0.610865,-0.597963,0.012902
0.070441,-0.610865,-0.597963,0.012902
0.080506,-0.610865,-0.597963,0.012902
0.090569,-0.610865,-0.597963,0.012902
0.100634,-0.610865,-0.597963,0.012902
0.110689,-0.610865,-0.597963,0.012902
0.120750,-0.610865,-0.597963,0.012902
0.130812,-0.610865,-0.597963,0.012902
0.141010,-0.610865,-0.597963,0.012902
0.151062,-0.610865,-0.597963,0.012902
0.161114,-0.610865,-0.597963,0.012902
0.171177,-0.610865,-0.597963,0.012902
0.181238,-0.610865,-0.597963,0.012902
0.191300,-0.610865,-0.597963,0.012902
0.201360,-0.610865,-0.597963,0.012902
0.211422,-0.610865,-0.597963,0.012902
0.221483,-0.610865,-0.597963,0.012902
0.231544,-0.610865,-0.597963,0.012902
0.241608,-0.610865,-0.597963,0.012902
0.251672,-0.610865,-0.597963,0.012902
0.261734,-0.610865,-0.597963,0.012902
0.271797,-0.610865,-0.597963,0.012902
0.281861,-0.610865,-0.597963,0.012902
0.291925,-0.610865,-0.597963,0.012902
0.301989,-0.610865,-0.597963,0.012902
0.312051,-0.610865,-0.597963,0.012902
0.322113,-0.610865,-0.597963,0.012902
0.332177,-0.610865,-0.597963,0.012902
0.342240,-0.610865,-0.597963,0.012902
0.352302,-0.610865,-0.597963,0.012902
0.362365,-0.610865,-0.597963,0.012902
0.372427,-0.610865,-0.597963,0.012902
0.382490,-0.610865,-0.597963,0.012902
0.392554,-0.610865,-0.597963,0.012902
0.402605,-0.610865,-0.597963,0.012902
0.412732,-0.610865,-0.597963,0.012902
0.422794,-0.610865,-0.597963,0.012902
0.432853,-0.610865,-0.597963,0.012902
0.442916,-0.610865,-0.597963,0.012902
0.452970,-0.610865,-0.597963,0.012902
0.463033,-0.610865,-0.597963,0.012902
0.473095,-0.610865,-0.597963,0.012902
0.483159,-0.610865,-0.597963,0.012902
0.493223,-0.610865,-0.597963,0.012902
0.503288,-0.610865,-0.597963,0.012902
0.513352,-0.610865,-0.597963,0.012902
0.523415,-0.610865,-0.597963,0.012902
0.533478,-0.610865,-0.597963,0.012902
0.543541,-0.610865,-0.597963,0.012902
0.553574,-0.610865,-0.597963,0.012902
0.563594,-0.610865,-0.597963,0.012902
0.573645,-0.610865,-0.597963,0.012902
0.583698,-0.610865,-0.597963,0.012902
0.593750,-0.610865,-0.597963,0.012902
0.603802,-0.610865,-0.597963,0.012902
0.613854,-0.610865,-0.597963,0.012902
0.623907,-0.610865,-0.597963,0.012902
0.633960,-0.610865,-0.597963,0.012902
0.644012,-0.610865,-0.597963,0.012902
0.654064,-0.610865,-0.597963,0.012902
0.664116,-0.610865,-0.597963,0.012902
0.674168,-0.610865,-0.597963,0.012902
0.684245,-0.610865,-0.597963,0.012902
0.694307,-0.610865,-0.597963,0.012902
0.704368,-0.610865,-0.597963,0.012902
0.714429,-0.610865,-0.597963,0.012902
0.724489,-0.610865,-0.597963,0.012902
0.734553,-0.610865,-0.597963,0.012902
0.744615,-0.610865,-0.597963,0.012902
0.754678,-0.610865,-0.597963,0.012902
0.764742,-0.610865,-0.597963,0.012902
0.774808,-0.610865,-0.597963,0.012902
0.784871,-0.610865,-0.597963,0.012902
0.794934,-0.610865,-0.597963,0.012902
0.804997,-0.610865,-0.597963,0.012902
0.815058,-0.610865,-0.597963,0.012902
0.825120,-0.610865,-0.597963,0.012902
0.835185,-0.610865,-0.597963,0.012902
0.845248,-0.610865,-0.597963,0.012902
0.855310,-0.610865,-0.597963,0.012902
0.865374,-0.610865,-0.597963,0.012902
0.875441,-0.610865,-0.597963,0.012902
0.885505,-0.610865,-0.597963,0.012902
0.895567,-0.610865,-0.597963,0.012902
0.905629,-0.610865,-0.597963,0.012902
0.915692,-0.610865,-0.597963,0.012902
0.925756,-0.610865,-0.597963,0.012902
0.935820,-0.610865,-0.597963,0.012902
0.945882,-0.610865,-0.597963,0.012902
0.955944,-0.610865,-0.597963,0.012902
0.966008,-0.610865,-0.597963,0.012902
0.976062,-0.610865,-0.597963,0.012902
0.986116,-0.610865,-0.597963,0.012902
0.996178,-0.610865,-0.597963,0.012902
1.006242,-0.609776,-0.597963,0.011813
1.016304,-0.608020,-0.597963,0.010057
1.026366,-0.606264,-0.597963,0.008301
1.036426,-0.604508,-0.597963,0.006545
1.046489,-0.602751,-0.597963,0.004789
1.056550,-0.600995,-0.597963,0.003033
1.066610,-0.599240,-0.597963,0.001277
1.076674,-0.597483,-0.597963,-0.000480
1.086737,-0.595727,-0.597963,-0.002236
1.096801,-0.593970,-0.597963,-0.003993
1.106857,-0.592215,-0.597963,-0.005748
1.116919,-0.590459,-0.597963,-0.007504
1.126931,-0.588712,-0.597963,-0.009251
1.136984,-0.586957,-0.597963,-0.011006
1.147038,-0.585202,-0.597963,-0.012761
1.157090,-0.583448,-0.597581,-0.014134
1.167142,-0.581693,-0.597581,-0.015888
1.177195,-0.579939,-0.597581,-0.017643
1.187247,-0.578185,-0.596818,-0.018634
1.197298,-0.576430,-0.595674,-0.019244
1.207350,-0.574676,-0.594911,-0.020235
1.217404,-0.572921,-0.594148,-0.021227
1.227456,-0.571167,-0.593385,-0.022218
1.237510,-0.569412,-0.593004,-0.023592
1.247590,-0.567653,-0.591478,-0.023825
1.257654,-0.565896,-0.590333,-0.024437
1.267717,-0.564140,-0.588808,-0.024668
1.277783,-0.562383,-0.587282,-0.024899
1.287844,-0.560627,-0.586137,-0.025510
1.297906,-0.558871,-0.584230,-0.025359
1.307959,-0.557116,-0.583085,-0.025969
1.318011,-0.555362,-0.581178,-0.025816
1.328064,-0.553607,-0.580034,-0.026426
1.338117,-0.551853,-0.577745,-0.025892
1.348169,-0.550098,-0.576219,-0.026121
1.358223,-0.548344,-0.574311,-0.025968
1.368275,-0.546589,-0.572786,-0.026196
1.378339,-0.544833,-0.570497,-0.025664
1.388405,-0.543076,-0.568971,-0.025895
1.398469,-0.541319,-0.567063,-0.025744
1.408531,-0.539563,-0.565537,-0.025974
1.418591,-0.537807,-0.563249,-0.025441
1.428654,-0.536051,-0.561341,-0.025290
1.438716,-0.534295,-0.559434,-0.025139
1.448780,-0.532538,-0.557908,-0.025370
1.458841,-0.530782,-0.555238,-0.024455
1.468903,-0.529026,-0.554093,-0.025067
1.478999,-0.527264,-0.552186,-0.024922
1.489063,-0.525508,-0.550278,-0.024771
1.499128,-0.523751,-0.548753,-0.025002
1.509189,-0.521995,-0.546845,-0.024850
1.519253,-0.520239,-0.545701,-0.025462
1.529316,-0.518482,-0.543030,-0.024548
1.539378,-0.516726,-0.541505,-0.024779
1.549441,-0.514970,-0.539597,-0.024627
1.559501,-0.513214,-0.538071,-0.024857
1.569563,-0.511458,-0.535401,-0.023943
1.579606,-0.509705,-0.533875,-0.024170
1.589665,-0.507949,-0.531968,-0.024018
1.599728,-0.506193,-0.530442,-0.024249
1.609792,-0.504436,-0.527771,-0.023335
1.619856,-0.502680,-0.527008,-0.024328
1.629918,-0.500924,-0.524720,-0.023796
1.639981,-0.499167,-0.522812,-0.023645
1.650045,-0.497411,-0.520905,-0.023494
1.660108,-0.495655,-0.519760,-0.024106
1.670168,-0.493899,-0.517090,-0.023191
1.680232,-0.492142,-0.515564,-0.023422
1.690296,-0.490386,-0.513657,-0.023271
1.700358,-0.488630,-0.512512,-0.023883
1.710421,-0.486873,-0.509461,-0.022587
1.720477,-0.485118,-0.508316,-0.023198
1.730536,-0.483363,-0.507172,-0.023809
1.740599,-0.481606,-0.504883,-0.023277
1.750662,-0.479850,-0.503357,-0.023507
1.760727,-0.478093,-0.501450,-0.023356
1.770789,-0.476337,-0.500305,-0.023968
1.780852,-0.474581,-0.498016,-0.023435
1.790915,-0.472825,-0.496490,-0.023666
1.800980,-0.471068,-0.494583,-0.023515
1.811041,-0.469312,-0.493057,-0.023745
1.821104,-0.467555,-0.490768,-0.023213
1.831166,-0.465799,-0.489242,-0.023443
1.841228,-0.464043,-0.487335,-0.023292
1.851291,-0.462287,-0.485809,-0.023522
1.861355,-0.460530,-0.483139,-0.022608
1.871417,-0.458774,-0.481994,-0.023220
1.881479,-0.457018,-0.480087,-0.023069
1.891543,-0.455262,-0.478561,-0.023299
1.901604,-0.453506,-0.476272,-0.022767
1.911667,-0.451749,-0.475128,-0.023378
1.921720,-0.449995,-0.472839,-0.022844
1.931784,-0.448238,-0.470932,-0.022693
1.941847,-0.446482,-0.469406,-0.022924
1.951907,-0.444726,-0.467880,-0.023154
1.961967,-0.442970,-0.465972,-0.023002
1.972020,-0.441216,-0.463684,-0.022468
1.982074,-0.439461,-0.462158,-0.022697
1.992135,-0.437705,-0.459869,-0.022164
2.002197,-0.435949,-0.457961,-0.022013
2.012261,-0.434192,-0.455673,-0.021480
2.022317,-0.432437,-0.454147,-0.021709
2.032369,-0.430683,-0.451858,-0.021175
2.042424,-0.428928,-0.449950,-0.021022
2.052477,-0.427173,-0.448043,-0.020870
2.062529,-0.425419,-0.446517,-0.021098
2.072593,-0.423662,-0.443847,-0.020184
2.082657,-0.421906,-0.442321,-0.020415
2.092719,-0.420150,-0.440414,-0.020264
2.102783,-0.418393,-0.438888,-0.020494
2.112844,-0.416637,-0.436599,-0.019961
2.122906,-0.414881,-0.435836,-0.020955
2.132970,-0.413125,-0.433928,-0.020804
2.143023,-0.411370,-0.432403,-0.021032
2.153085,-0.409614,-0.430877,-0.021263
2.163148,-0.407858,-0.429732,-0.021875
2.173212,-0.406101,-0.428206,-0.022105
2.183277,-0.404344,-0.426680,-0.022336
2.193347,-0.402587,-0.424773,-0.022186
2.203404,-0.400832,-0.423629,-0.022797
2.213467,-0.399075,-0.422484,-0.023409
2.223521,-0.397321,-0.420577,-0.023256
2.233582,-0.395565,-0.419051,-0.023486
2.243604,-0.393815,-0.417144,-0.023328
2.253658,-0.392061,-0.415618,-0.023557
2.263722,-0.390304,-0.413329,-0.023025
2.273786,-0.388548,-0.411803,-0.023255
2.283848,-0.386791,-0.409514,-0.022723
2.293912,-0.385035,-0.407988,-0.022953
2.303975,-0.383279,-0.405699,-0.022421
2.314039,-0.381522,-0.403792,-0.022270
2.324101,-0.379766,-0.402266,-0.022500
2.334158,-0.378011,-0.401122,-0.023111
2.344211,-0.376256,-0.398451,-0.022195
2.354262,-0.374502,-0.396925,-0.022423
2.364314,-0.372748,-0.395399,-0.022652
2.374365,-0.370993,-0.393874,-0.022880
2.384417,-0.369239,-0.391203,-0.021964
2.394469,-0.367485,-0.390059,-0.022574
2.404522,-0.365730,-0.388151,-0.022421
2.414575,-0.363975,-0.386244,-0.022269
2.424593,-0.362227,-0.383955,-0.021728
2.434645,-0.360472,-0.382811,-0.022338
2.444696,-0.358718,-0.380522,-0.021804
2.454748,-0.356964,-0.378614,-0.021651
2.464801,-0.355209,-0.377089,-0.021879
2.474857,-0.353454,-0.375181,-0.021727
2.484909,-0.351700,-0.373274,-0.021574
2.494961,-0.349945,-0.370603,-0.020658
2.505013,-0.348191,-0.369459,-0.021268
2.515065,-0.346437,-0.367552,-0.021115
2.525116,-0.344682,-0.365644,-0.020962
2.535169,-0.342928,-0.363737,-0.020809
2.545224,-0.341173,-0.362974,-0.021801
2.555275,-0.339418,-0.360685,-0.021267
2.565328,-0.337664,-0.358778,-0.021114
2.575380,-0.335909,-0.357633,-0.021724
2.585432,-0.334155,-0.356870,-0.022715
2.595484,-0.332401,-0.354963,-0.022562
2.605537,-0.330646,-0.353819,-0.023172
2.615589,-0.328892,-0.352674,-0.023782
2.625640,-0.327137,-0.351530,-0.024392
2.635693,-0.325383,-0.350004,-0.024621
2.645746,-0.323628,-0.348478,-0.024850
2.655798,-0.321874,-0.346952,-0.025078
2.665852,-0.320119,-0.345426,-0.025307
2.675904,-0.318365,-0.343137,-0.024772
2.685957,-0.316610,-0.341230,-0.024620
2.696009,-0.314856,-0.338941,-0.024085
2.706060,-0.313102,-0.337415,-0.024314
2.716182,-0.311335,-0.334745,-0.023410
2.726244,-0.309579,-0.333219,-0.023640
2.736304,-0.307823,-0.331693,-0.023870
2.746368,-0.306067,-0.329404,-0.023338
2.756430,-0.304310,-0.327878,-0.023568
2.766493,-0.302554,-0.325208,-0.022654
2.776558,-0.300797,-0.324063,-0.023266
2.786603,-0.299044,-0.322156,-0.023112
2.796667,-0.297288,-0.320249,-0.022961
2.806729,-0.295531,-0.318341,-0.022810
2.816790,-0.293776,-0.317578,-0.023803
2.826854,-0.292019,-0.315290,-0.023270
2.836909,-0.290264,-0.313382,-0.023118
2.846968,-0.288508,-0.311475,-0.022966
2.857033,-0.286752,-0.309949,-0.023197
2.867094,-0.284996,-0.307279,-0.022283
2.877147,-0.283241,-0.305753,-0.022511
2.887200,-0.281487,-0.303845,-0.022358
2.897252,-0.279732,-0.302319,-0.022587
2.907304,-0.277978,-0.299649,-0.021671
2.917355,-0.276224,-0.298123,-0.021900
2.927407,-0.274469,-0.295834,-0.021365
2.937459,-0.272715,-0.293927,-0.021212
2.947511,-0.270961,-0.291638,-0.020678
2.957563,-0.269206,-0.290112,-0.020906
2.967593,-0.267455,-0.288586,-0.021131
2.977645,-0.265701,-0.286297,-0.020596
2.987696,-0.263947,-0.285153,-0.021206
2.997747,-0.262193,-0.283627,-0.021434
3.007800,-0.263161,-0.282101,-0.018940
3.017852,-0.264915,-0.280194,-0.015279
3.027903,-0.266669,-0.279431,-0.012762
3.037954,-0.268424,-0.278286,-0.009863
3.048007,-0.270178,-0.277523,-0.007345
3.058059,-0.271933,-0.276761,-0.004828
3.068111,-0.273687,-0.275998,-0.002311
3.078162,-0.275441,-0.275235,0.000207
3.088214,-0.277196,-0.275235,0.001961
3.098265,-0.278950,-0.275235,0.003715
3.108317,-0.280704,-0.275235,0.005470
3.118368,-0.282459,-0.275235,0.007224
3.128419,-0.284213,-0.275235,0.008978
3.138473,-0.285967,-0.275235,0.010733
3.148526,-0.287722,-0.275235,0.012487
3.158578,-0.289476,-0.275235,0.014242
3.168630,-0.291231,-0.275235,0.015996
3.178682,-0.292985,-0.275235,0.017751
3.188734,-0.294740,-0.275235,0.019505
3.198786,-0.296494,-0.275235,0.021259
3.208841,-0.298249,-0.275235,0.023014
3.218903,-0.300005,-0.275235,0.024771
3.228957,-0.301760,-0.275235,0.026525
3.239009,-0.303514,-0.275235,0.028280
3.249062,-0.305269,-0.275235,0.030034
3.259114,-0.307023,-0.275235,0.031789
3.269165,-0.308778,-0.275235,0.033543
3.279217,-0.310532,-0.275235,0.035297
3.289268,-0.312286,-0.275235,0.037052
3.299322,-0.314041,-0.275235,0.038806
3.309374,-0.315795,-0.275616,0.040179
3.319426,-0.317550,-0.275616,0.041934
3.329478,-0.319304,-0.275998,0.043307
3.339530,-0.321059,-0.275998,0.045061
3.349582,-0.322813,-0.275998,0.046815
3.359596,-0.324561,-0.275998,0.048563
3.369648,-0.326315,-0.275998,0.050317
3.379699,-0.328069,-0.275998,0.052072
3.389752,-0.329824,-0.275998,0.053826
3.399804,-0.331578,-0.275998,0.055581
3.409855,-0.333333,-0.275998,0.057335
3.419896,-0.335085,-0.275998,0.059087
3.429958,-0.336841,-0.276379,0.060462
3.440022,-0.338598,-0.276379,0.062219
3.450086,-0.340354,-0.276379,0.063975
3.460148,-0.342110,-0.277523,0.064587
3.470211,-0.343867,-0.278668,0.065199
3.480275,-0.345623,-0.280957,0.064666
3.490339,-0.347380,-0.282483,0.064897
3.500401,-0.349136,-0.285153,0.063983
3.510463,-0.350892,-0.287442,0.063450
3.520527,-0.352648,-0.290494,0.062155
3.530588,-0.354405,-0.292401,0.062004
3.540615,-0.356154,-0.294690,0.061465
3.550664,-0.357908,-0.298123,0.059785
3.560714,-0.359662,-0.300793,0.058869
3.570766,-0.361417,-0.303845,0.057572
3.580818,-0.363171,-0.305753,0.057419
3.590870,-0.364926,-0.308804,0.056121
3.600921,-0.366680,-0.310712,0.055968
3.610973,-0.368434,-0.313382,0.055052
3.621025,-0.370189,-0.315671,0.054518
3.631077,-0.371943,-0.318341,0.053602
3.641129,-0.373698,-0.319867,0.053830
3.651192,-0.375454,-0.322538,0.052916
3.661255,-0.377210,-0.323682,0.053528
3.671320,-0.378967,-0.325208,0.053759
3.681382,-0.380723,-0.326734,0.053989
3.691445,-0.382479,-0.329023,0.053457
3.701509,-0.384236,-0.329786,0.054450
3.711570,-0.385992,-0.332074,0.053917
3.721604,-0.387743,-0.333600,0.054143
3.731658,-0.389498,-0.335126,0.054372
3.741721,-0.391254,-0.336271,0.054983
3.751785,-0.393011,-0.338178,0.054833
3.761850,-0.394767,-0.339322,0.055445
3.771912,-0.396523,-0.340467,0.056057
3.781975,-0.398280,-0.341993,0.056287
3.792036,-0.400036,-0.343137,0.056899
3.802098,-0.401792,-0.345045,0.056747
3.812161,-0.403548,-0.346189,0.057359
3.822226,-0.405305,-0.348096,0.057208
3.832290,-0.407061,-0.349622,0.057439
3.842353,-0.408818,-0.351911,0.056907
3.852416,-0.410574,-0.353437,0.057137
3.862469,-0.412329,-0.355344,0.056984
3.872534,-0.414085,-0.356870,0.057215
3.882598,-0.415842,-0.359159,0.056683
3.892606,-0.417589,-0.360685,0.056903
3.902670,-0.419345,-0.362593,0.056753
3.912732,-0.421101,-0.364500,0.056601
3.922793,-0.422857,-0.367552,0.055305
3.932845,-0.424612,-0.368696,0.055915
3.942898,-0.426366,-0.370985,0.055381
3.952950,-0.428121,-0.372892,0.055228
3.963003,-0.429875,-0.375563,0.054312
3.973055,-0.431629,-0.376707,0.054922
3.983083,-0.433380,-0.378614,0.054765
3.993135,-0.435134,-0.381666,0.053468
4.003188,-0.436889,-0.383192,0.053697
4.013239,-0.438643,-0.385863,0.052781
4.023292,-0.440397,-0.387770,0.052628
4.033343,-0.442152,-0.389677,0.052475
4.043404,-0.443908,-0.391203,0.052705
4.053466,-0.445664,-0.393874,0.051790
4.063529,-0.447420,-0.395399,0.052021
4.073590,-0.449176,-0.397688,0.051488
4.083654,-0.450933,-0.399214,0.051718
4.093713,-0.452688,-0.401122,0.051567
4.103775,-0.454445,-0.402266,0.052179
4.113839,-0.456201,-0.404173,0.052028
4.123903,-0.457957,-0.405699,0.052258
4.133964,-0.459713,-0.407225,0.052488
4.144017,-0.461468,-0.407988,0.053480
4.154070,-0.463223,-0.409514,0.053709
4.164131,-0.464979,-0.411040,0.053939
4.174186,-0.466733,-0.412566,0.054168
4.184249,-0.468490,-0.413710,0.054780
4.194323,-0.470248,-0.414855,0.055393
4.204384,-0.472004,-0.416762,0.055242
4.214445,-0.473760,-0.417906,0.055854
4.224509,-0.475517,-0.419814,0.055703
4.234569,-0.477272,-0.421340,0.055933
4.244633,-0.479029,-0.423247,0.055782
4.254692,-0.480785,-0.424773,0.056011
4.264753,-0.482540,-0.426680,0.055860
4.274814,-0.484296,-0.428206,0.056090
4.284878,-0.486053,-0.430877,0.055176
4.294940,-0.487809,-0.432784,0.055025
4.305000,-0.489565,-0.435073,0.054492
4.315061,-0.491321,-0.436599,0.054722
4.325123,-0.493077,-0.439651,0.053426
4.335188,-0.494834,-0.441176,0.053657
4.345251,-0.496590,-0.443847,0.052743
4.355310,-0.498346,-0.445754,0.052591
4.365372,-0.500102,-0.448425,0.051677
4.375431,-0.501857,-0.449950,0.051907
4.385497,-0.503614,-0.452621,0.050993
4.395558,-0.505370,-0.454528,0.050842
4.405618,-0.507126,-0.456817,0.050309
4.415680,-0.508882,-0.458724,0.050158
4.425739,-0.510638,-0.461395,0.049243
4.435807,-0.512395,-0.462921,0.049474
4.445868,-0.514151,-0.465591,0.048560
4.455932,-0.515907,-0.467117,0.048791
4.465991,-0.517663,-0.469024,0.048639
4.476047,-0.519418,-0.470550,0.048868
4.486154,-0.521182,-0.472839,0.048343
4.496218,-0.522939,-0.473983,0.048955
4.506277,-0.524694,-0.475128,0.049567
4.516340,-0.526451,-0.477417,0.049034
4.526404,-0.528207,-0.478943,0.049265
4.536469,-0.529964,-0.480468,0.049495
4.546530,-0.531720,-0.481613,0.050107
4.556594,-0.533476,-0.483520,0.049956
4.566657,-0.535233,-0.484665,0.050568
4.576725,-0.536990,-0.485809,0.051181
4.586788,-0.538746,-0.486954,0.051793
4.596852,-0.540503,-0.488479,0.052023
4.606914,-0.542259,-0.489624,0.052635
4.616977,-0.544015,-0.490768,0.053247
4.627041,-0.545772,-0.491913,0.053859
4.637103,-0.547528,-0.493820,0.053708
4.647156,-0.549282,-0.494583,0.054699
4.657207,-0.551037,-0.496872,0.054165
4.667259,-0.552791,-0.498398,0.054393
4.677312,-0.554545,-0.500305,0.054240
4.687364,-0.556300,-0.501831,0.054469
4.697425,-0.558056,-0.503738,0.054317
4.707488,-0.559812,-0.505264,0.054548
4.717628,-0.561582,-0.507553,0.054029
4.727681,-0.563337,-0.509079,0.054257
4.737733,-0.565091,-0.510986,0.054105
4.747785,-0.566845,-0.513275,0.053570
4.757837,-0.568600,-0.514801,0.053799
4.767889,-0.570354,-0.517853,0.052501
4.777940,-0.572109,-0.518997,0.053111
4.787993,-0.573863,-0.521286,0.052577
4.798044,-0.575617,-0.523194,0.052424
4.808096,-0.577372,-0.525864,0.051508
4.818148,-0.579126,-0.527390,0.051736
4.828200,-0.580880,-0.530060,0.050820
4.838252,-0.582635,-0.531586,0.051049
4.848303,-0.584389,-0.533875,0.050514
4.858355,-0.586143,-0.535401,0.050743
4.868407,-0.587898,-0.538071,0.049827
4.878459,-0.589652,-0.539216,0.050437
4.888511,-0.591407,-0.541505,0.049902
4.898563,-0.593161,-0.543412,0.049749
4.908609,-0.594914,-0.545701,0.049214
4.918661,-0.596669,-0.546845,0.049824
4.928713,-0.598423,-0.548371,0.050052
4.938765,-0.600178,-0.551041,0.049136
4.948817,-0.601932,-0.551804,0.050128
4.958870,-0.603687,-0.553712,0.049975
4.968923,-0.605441,-0.555238,0.050204
4.978975,-0.607196,-0.557527,0.049669
4.989027,-0.608950,-0.558289,0.050661
4.999079,-0.610705,-0.560578,0.050126
5.009131,-0.609272,-0.562486,0.046786
5.019185,-0.607517,-0.564393,0.043124
5.029237,-0.605762,-0.565537,0.040225
5.039289,-0.604008,-0.567445,0.036563
5.049341,-0.602254,-0.568971,0.033283
5.059394,-0.600499,-0.569734,0.030765
5.069447,-0.598744,-0.570115,0.028629
5.079499,-0.596990,-0.570497,0.026493
5.089515,-0.595242,-0.570497,0.024745
5.099590,-0.593484,-0.570497,0.022987
5.109603,-0.591736,-0.570497,0.021239
5.119655,-0.589982,-0.570497,0.019485
5.129709,-0.588227,-0.570497,0.017730
5.139762,-0.586472,-0.570497,0.015976
5.149814,-0.584718,-0.570115,0.014602
5.159867,-0.582963,-0.570115,0.012848
5.169919,-0.581209,-0.570115,0.011094
5.179971,-0.579454,-0.570115,0.009339
5.190023,-0.577700,-0.570115,0.007585
5.200077,-0.575945,-0.570115,0.005830
5.210129,-0.574191,-0.570115,0.004076
5.220180,-0.572437,-0.570115,0.002321
5.230232,-0.570682,-0.570115,0.000567
5.240284,-0.568928,-0.570115,-0.001187
5.250336,-0.567173,-0.570115,-0.002942
5.260388,-0.565419,-0.570115,-0.004696
5.270440,-0.563665,-0.569734,-0.006069
5.280491,-0.561910,-0.569734,-0.007823
5.290543,-0.560156,-0.569734,-0.009578
5.300596,-0.558401,-0.569734,-0.011332
5.310648,-0.556647,-0.569734,-0.013087
5.320701,-0.554892,-0.569734,-0.014841
5.330753,-0.553138,-0.569734,-0.016596
5.340805,-0.551384,-0.569734,-0.018350
5.350871,-0.549627,-0.569734,-0.020107
5.360931,-0.547871,-0.569734,-0.021863
5.370992,-0.546115,-0.569734,-0.023619
5.381053,-0.544359,-0.569352,-0.024993
5.391114,-0.542603,-0.568208,-0.025605
5.401174,-0.540847,-0.567063,-0.026216
5.411237,-0.539091,-0.566300,-0.027210
5.421300,-0.537335,-0.564393,-0.027059
5.431359,-0.535579,-0.562486,-0.026907
5.441423,-0.533822,-0.560578,-0.026756
5.451487,-0.532066,-0.559052,-0.026987
5.461547,-0.530310,-0.556001,-0.025690
5.471609,-0.528554,-0.554475,-0.025921
5.481675,-0.526797,-0.552186,-0.025389
5.491736,-0.525041,-0.550278,-0.025237
5.501792,-0.523286,-0.547608,-0.024322
5.511855,-0.521530,-0.546464,-0.024934
5.521918,-0.519773,-0.543793,-0.024020
5.531979,-0.518017,-0.542267,-0.024250
5.542042,-0.516261,-0.539979,-0.023718
5.552105,-0.514505,-0.538453,-0.023948
5.562169,-0.512748,-0.536164,-0.023416
5.572231,-0.510992,-0.534638,-0.023646
5.582294,-0.509236,-0.532731,-0.023495
5.592356,-0.507480,-0.531205,-0.023725
5.602418,-0.505723,-0.529297,-0.023574
5.612479,-0.503967,-0.527771,-0.023804
5.622540,-0.502212,-0.525864,-0.023652
5.632602,-0.500455,-0.524338,-0.023883
5.642657,-0.498700,-0.521668,-0.022967
5.652717,-0.496945,-0.520523,-0.023579
5.662860,-0.495174,-0.518616,-0.023442
5.672912,-0.493420,-0.516709,-0.023289
5.682965,-0.491665,-0.515183,-0.023517
5.693015,-0.489911,-0.513657,-0.023746
5.703065,-0.488157,-0.512131,-0.023974
5.713116,-0.486403,-0.509461,-0.023058
5.723166,-0.484649,-0.508316,-0.023667
5.733228,-0.482893,-0.507172,-0.024279
5.743290,-0.481137,-0.505646,-0.024509
5.753353,-0.479380,-0.503357,-0.023977
5.763406,-0.477626,-0.502213,-0.024587
5.773469,-0.475869,-0.500687,-0.024817
5.783531,-0.474113,-0.499161,-0.025048
5.793594,-0.472357,-0.497253,-0.024896
5.803657,-0.470601,-0.496109,-0.025508
5.813719,-0.468845,-0.493820,-0.024976
5.823781,-0.467088,-0.492294,-0.025206
5.833841,-0.465333,-0.490005,-0.024673
5.843895,-0.463578,-0.488479,-0.024902
5.853947,-0.461823,-0.486572,-0.024749
5.864008,-0.460067,-0.484665,-0.024597
5.874070,-0.458311,-0.482376,-0.024065
5.884131,-0.456555,-0.481231,-0.024676
5.894187,-0.454800,-0.478943,-0.024142
5.904249,-0.453044,-0.477035,-0.023991
5.914311,-0.451288,-0.475128,-0.023840
5.924364,-0.449533,-0.473602,-0.024069
5.934426,-0.447777,-0.470932,-0.023154
5.944479,-0.446022,-0.469406,-0.023383
5.954643,-0.444249,-0.467498,-0.023250
5.964696,-0.442494,-0.465591,-0.023097
5.974748,-0.440740,-0.464065,-0.023325
5.984801,-0.438985,-0.461776,-0.022791
5.994853,-0.437231,-0.460250,-0.023020
6.004905,-0.435476,-0.457580,-0.022104
6.014954,-0.433722,-0.456054,-0.022332
6.025014,-0.431967,-0.453765,-0.021799
6.035075,-0.430211,-0.451858,-0.021647
