t,ref,resp,err,eff
0.000000,-0.261799,-0.258450,0.003350,-0.100122
0.010054,-0.261799,-0.258450,0.003350,-0.085470
0.020107,-0.261799,-0.258450,0.003350,-0.075702
0.030159,-0.261799,-0.258450,0.003350,-0.090354
0.040211,-0.261799,-0.258450,0.003350,-0.124542
0.050264,-0.261799,-0.258450,0.003350,-0.109890
0.060316,-0.261799,-0.258450,0.003350,-0.075702
0.070370,-0.261799,-0.258450,0.003350,-0.095238
0.080423,-0.261799,-0.258450,0.003350,-0.124542
0.090475,-0.261799,-0.258450,0.003350,-0.105006
0.100527,-0.261799,-0.258450,0.003350,-0.080586
0.110581,-0.261799,-0.258450,0.003350,-0.080586
0.120634,-0.261799,-0.258450,0.003350,-0.109890
0.130687,-0.261799,-0.258450,0.003350,-0.124542
0.140741,-0.261799,-0.258450,0.003350,-0.095238
0.150758,-0.261799,-0.258450,0.003350,-0.070818
0.160814,-0.261799,-0.258450,0.003350,-0.114774
0.170889,-0.261799,-0.258450,0.003350,-0.124542
0.180948,-0.261799,-0.258068,0.003731,-0.119658
0.191005,-0.261799,-0.258068,0.003731,-0.095238
0.201062,-0.261799,-0.258450,0.003350,-0.100122
0.211119,-0.261799,-0.258068,0.003731,-0.100122
0.221177,-0.261799,-0.258450,0.003350,-0.085470
0.231234,-0.261799,-0.258068,0.003731,-0.109890
0.241289,-0.261799,-0.258068,0.003731,-0.109890
0.251342,-0.261799,-0.258068,0.003731,-0.085470
0.261393,-0.261799,-0.258450,0.003350,-0.109890
0.271445,-0.261799,-0.258450,0.003350,-0.114774
0.281496,-0.261799,-0.258450,0.003350,-0.095238
0.291557,-0.261799,-0.258068,0.003731,-0.080586
0.301618,-0.261799,-0.258450,0.003350,-0.124542
0.311677,-0.261799,-0.258450,0.003350,-0.100122
0.321739,-0.261799,-0.258068,0.003731,-0.109890
0.331765,-0.261799,-0.258450,0.003350,-0.144078
0.341817,-0.261799,-0.258068,0.003731,-0.095238
0.351945,-0.261799,-0.258450,0.003350,-0.105006
0.361997,-0.261799,-0.258450,0.003350,-0.109890
0.372050,-0.261799,-0.258450,0.003350,-0.119658
0.382102,-0.261799,-0.258068,0.003731,-0.080586
0.392154,-0.261799,-0.258450,0.003350,-0.036630
0.402206,-0.261799,-0.258068,0.003731,-0.075702
0.412259,-0.261799,-0.258450,0.003350,-0.105006
0.422310,-0.261799,-0.258450,0.003350,-0.080586
0.432362,-0.261799,-0.258068,0.003731,-0.100122
0.442414,-0.261799,-0.258450,0.003350,-0.100122
0.452467,-0.261799,-0.258450,0.003350,-0.105006
0.462517,-0.261799,-0.258450,0.003350,-0.119658
0.472577,-0.261799,-0.258068,0.003731,-0.085470
0.482639,-0.261799,-0.258450,0.003350,-0.085470
0.492689,-0.261799,-0.258068,0.003731,-0.095238
0.502741,-0.261799,-0.258068,0.003731,-0.100122
0.512757,-0.261799,-0.258450,0.003350,-0.119658
0.522811,-0.261799,-0.258068,0.003731,-0.095238
0.532865,-0.261799,-0.258068,0.003731,-0.095238
0.542920,-0.261799,-0.258068,0.003731,-0.119658
0.552959,-0.261799,-0.258068,0.003731,-0.080586
0.562990,-0.261799,-0.258450,0.003350,-0.090354
