t,q1,q2,q3,q4,q5,q6
0.000000,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.010054,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.020107,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.030159,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.040210,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.050261,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.060312,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.070365,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.080416,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.090468,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.100520,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.110573,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.120625,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.130677,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.140730,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.150782,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.160833,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.170885,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.180938,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.190961,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.201015,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.211067,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.221119,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.231172,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.241227,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.251280,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.261332,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.271385,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.281437,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.291489,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.301540,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.311592,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.321643,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.331695,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.341747,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.351798,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.361851,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.371903,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.381954,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.391961,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.401975,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.412027,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.422079,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.432131,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.442184,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.452235,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.462288,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.472340,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.482392,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.492443,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.502495,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.512546,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.522597,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.532649,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.542714,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.552777,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.562838,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.572891,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.582944,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.592961,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.603015,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.613067,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.623122,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.633175,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.643228,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.653280,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.663334,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.673387,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.683440,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.693493,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.703546,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.713601,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.723655,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.733705,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.743766,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.753829,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.763887,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.773946,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.783972,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.794034,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.804091,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.814144,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.824197,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.834250,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.844301,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.854362,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.864421,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.874483,-0.338178,0.606737,-0.406844,-0.388533,-0.009728,-0.005531
0.884536,-0.338178,0.606737,-0.407225,-0.388533,-0.009728,-0.005531
0.894588,-0.338178,0.606737,-0.407225,-0.388533,-0.009728,-0.005531
0.904649,-0.338178,0.606737,-0.407225,-0.388533,-0.009728,-0.005531
0.914704,-0.338178,0.606737,-0.407607,-0.388533,-0.009728,-0.005531
0.924756,-0.338178,0.606737,-0.407607,-0.388533,-0.009728,-0.005531
0.934808,-0.338178,0.606737,-0.407607,-0.388533,-0.009728,-0.005531
0.944860,-0.338178,0.606737,-0.407988,-0.388533,-0.009728,-0.005531
0.954927,-0.338178,0.606737,-0.408370,-0.388533,-0.009728,-0.005531
0.964961,-0.338178,0.606737,-0.408751,-0.388533,-0.009728,-0.005531
0.975013,-0.338178,0.606737,-0.408751,-0.388533,-0.009728,-0.005531
0.985065,-0.338178,0.606737,-0.408751,-0.388533,-0.009728,-0.005531
0.995117,-0.338178,0.606737,-0.409133,-0.388533,-0.009728,-0.005531
1.005168,-0.338178,0.606737,-0.409133,-0.388533,-0.009728,-0.005531
1.015220,-0.338178,0.606737,-0.409514,-0.388533,-0.009728,-0.005531
1.025291,-0.338178,0.606737,-0.409895,-0.388533,-0.009728,-0.005531
1.035343,-0.338178,0.606737,-0.409895,-0.388533,-0.009728,-0.005531
1.045395,-0.338178,0.606737,-0.410277,-0.388533,-0.009728,-0.005531
1.055446,-0.338178,0.606737,-0.410658,-0.388533,-0.009728,-0.005531
1.065495,-0.338178,0.606737,-0.411040,-0.388533,-0.009728,-0.005531
1.075545,-0.338178,0.606737,-0.411421,-0.388533,-0.009728,-0.005531
1.085597,-0.338178,0.606737,-0.411803,-0.388533,-0.009728,-0.005531
1.095649,-0.338178,0.606737,-0.412566,-0.388533,-0.009728,-0.005531
1.105701,-0.338178,0.606737,-0.412947,-0.388533,-0.009728,-0.005531
1.115752,-0.338178,0.607118,-0.413329,-0.388533,-0.009728,-0.005531
1.125804,-0.338178,0.607118,-0.414092,-0.388533,-0.009728,-0.005531
1.135856,-0.338178,0.607118,-0.415236,-0.388533,-0.009728,-0.005531
1.145906,-0.338178,0.607118,-0.415999,-0.388533,-0.009728,-0.005531
1.155962,-0.338178,0.607118,-0.417144,-0.388533,-0.009728,-0.005531
1.166014,-0.338178,0.607118,-0.417906,-0.388533,-0.009728,-0.005531
1.176066,-0.338178,0.607118,-0.419051,-0.388533,-0.009728,-0.005531
1.186119,-0.338178,0.607118,-0.419814,-0.388533,-0.009728,-0.005531
1.196171,-0.338178,0.607118,-0.421340,-0.388533,-0.009728,-0.005531
1.206226,-0.338178,0.606737,-0.421721,-0.388533,-0.009728,-0.005531
1.216289,-0.338178,0.606737,-0.423247,-0.388533,-0.009728,-0.005531
1.226352,-0.338178,0.606737,-0.424010,-0.388533,-0.009728,-0.005531
1.236406,-0.338178,0.606737,-0.424773,-0.388533,-0.009728,-0.005531
1.246460,-0.338178,0.606737,-0.425536,-0.388533,-0.009728,-0.005531
1.256512,-0.338178,0.606737,-0.425917,-0.388533,-0.009728,-0.005531
1.266564,-0.338178,0.607118,-0.427443,-0.388533,-0.009728,-0.005531
1.276617,-0.338178,0.607118,-0.428206,-0.388533,-0.009728,-0.005531
1.286668,-0.338178,0.607118,-0.429732,-0.388533,-0.009728,-0.005531
1.296721,-0.338560,0.607118,-0.430495,-0.388533,-0.009728,-0.005531
