t,ref,resp,err
0.000000,-0.610865,-0.584230,0.026635
0.010108,-0.610865,-0.584230,0.026635
0.020172,-0.610865,-0.584230,0.026635
0.030232,-0.610865,-0.584230,0.026635
0.040295,-0.610865,-0.584230,0.026635
0.050364,-0.610865,-0.584230,0.026635
0.060427,-0.610865,-0.584230,0.026635
0.070491,-0.610865,-0.584230,0.026635
0.080552,-0.610865,-0.584230,0.026635
0.090615,-0.610865,-0.584230,0.026635
0.100678,-0.610865,-0.584230,0.026635
0.110732,-0.610865,-0.584230,0.026635
0.120795,-0.610865,-0.584230,0.026635
0.130858,-0.610865,-0.584230,0.026635
0.140922,-0.610865,-0.584230,0.026635
0.150992,-0.610865,-0.584230,0.026635
0.161055,-0.610865,-0.584230,0.026635
0.171119,-0.610865,-0.584230,0.026635
0.181183,-0.610865,-0.584230,0.026635
0.191244,-0.610865,-0.584230,0.026635
0.201305,-0.610865,-0.584230,0.026635
0.211366,-0.610865,-0.584230,0.026635
0.221427,-0.610865,-0.584230,0.026635
0.231491,-0.610865,-0.584230,0.026635
0.241553,-0.610865,-0.584230,0.026635
0.251617,-0.610865,-0.584230,0.026635
0.261676,-0.610865,-0.584230,0.026635
0.271738,-0.610865,-0.584230,0.026635
0.281798,-0.610865,-0.584230,0.026635
0.291857,-0.610865,-0.584230,0.026635
0.301921,-0.610865,-0.584230,0.026635
0.311982,-0.610865,-0.584230,0.026635
0.322044,-0.610865,-0.584230,0.026635
0.332107,-0.610865,-0.584230,0.026635
0.342168,-0.610865,-0.584230,0.026635
0.352236,-0.610865,-0.584230,0.026635
0.362297,-0.610865,-0.584230,0.026635
0.372359,-0.610865,-0.584230,0.026635
0.382419,-0.610865,-0.584230,0.026635
0.392483,-0.610865,-0.584230,0.026635
0.402543,-0.610865,-0.584230,0.026635
0.412606,-0.610865,-0.584230,0.026635
0.422665,-0.610865,-0.584230,0.026635
0.432726,-0.610865,-0.584230,0.026635
0.442789,-0.610865,-0.584230,0.026635
0.452854,-0.610865,-0.584230,0.026635
0.462916,-0.610865,-0.584230,0.026635
0.472979,-0.610865,-0.584230,0.026635
0.483042,-0.610865,-0.584230,0.026635
0.493104,-0.610865,-0.584230,0.026635
0.503167,-0.610865,-0.584230,0.026635
0.513230,-0.610865,-0.584230,0.026635
0.523292,-0.610865,-0.584230,0.026635
0.533355,-0.610865,-0.584230,0.026635
0.543418,-0.610865,-0.584230,0.026635
0.553487,-0.610865,-0.584230,0.026635
0.563549,-0.610865,-0.584230,0.026635
0.573609,-0.610865,-0.584230,0.026635
0.583672,-0.610865,-0.584230,0.026635
0.593722,-0.610865,-0.584230,0.026635
0.603785,-0.610865,-0.584230,0.026635
0.613848,-0.610865,-0.584230,0.026635
0.623912,-0.610865,-0.584230,0.026635
0.633974,-0.610865,-0.584230,0.026635
0.644036,-0.610865,-0.584230,0.026635
0.654100,-0.610865,-0.584230,0.026635
0.664153,-0.610865,-0.584230,0.026635
0.674216,-0.610865,-0.584230,0.026635
0.684279,-0.610865,-0.584230,0.026635
0.694343,-0.610865,-0.584230,0.026635
0.704408,-0.610865,-0.584230,0.026635
0.714469,-0.610865,-0.584230,0.026635
0.724532,-0.610865,-0.584230,0.026635
0.734596,-0.610865,-0.584230,0.026635
0.744660,-0.610865,-0.584230,0.026635
0.754722,-0.610865,-0.584230,0.026635
0.764785,-0.610865,-0.584230,0.026635
0.774848,-0.610865,-0.584230,0.026635
0.784911,-0.610865,-0.584230,0.026635
0.794973,-0.610865,-0.584230,0.026635
0.805034,-0.610865,-0.584230,0.026635
0.815096,-0.610865,-0.584230,0.026635
0.825157,-0.610865,-0.584230,0.026635
0.835216,-0.610865,-0.584230,0.026635
0.845280,-0.610865,-0.584230,0.026635
0.855343,-0.610865,-0.584230,0.026635
0.865403,-0.610865,-0.584230,0.026635
0.875464,-0.610865,-0.584230,0.026635
0.885523,-0.610865,-0.584230,0.026635
0.895585,-0.610865,-0.584230,0.026635
0.905645,-0.610865,-0.584230,0.026635
0.915706,-0.610865,-0.584230,0.026635
0.925767,-0.610865,-0.584230,0.026635
0.935828,-0.610865,-0.584230,0.026635
0.945888,-0.610865,-0.584230,0.026635
0.955949,-0.610865,-0.584230,0.026635
0.966014,-0.610865,-0.584230,0.026635
0.976075,-0.610865,-0.584230,0.026635
0.986136,-0.610865,-0.584230,0.026635
0.996195,-0.610865,-0.584230,0.026635
1.006258,-0.584652,-0.584230,0.000423
1.016319,-0.542508,-0.584230,-0.041722
1.026380,-0.500363,-0.583848,-0.083485
1.036443,-0.458213,-0.582704,-0.124491
1.046505,-0.416066,-0.580034,-0.163967
1.056569,-0.373910,-0.576982,-0.203071
1.066622,-0.331802,-0.571641,-0.239839
1.076686,-0.289642,-0.566682,-0.277039
1.086749,-0.261799,-0.561341,-0.299542
1.096809,-0.261799,-0.549516,-0.287716
1.106870,-0.261799,-0.540360,-0.278561
1.116931,-0.261799,-0.527008,-0.265209
1.126989,-0.261799,-0.517853,-0.256054
1.137051,-0.261799,-0.502213,-0.240413
1.147111,-0.261799,-0.491531,-0.229732
1.157174,-0.261799,-0.474365,-0.212565
1.167238,-0.261799,-0.462921,-0.201121
1.177298,-0.261799,-0.444991,-0.183192
1.187359,-0.261799,-0.432403,-0.170603
1.197417,-0.261799,-0.414473,-0.152674
1.207480,-0.261799,-0.402266,-0.140467
1.217541,-0.261799,-0.385100,-0.123300
1.227603,-0.261799,-0.373655,-0.111856
1.237662,-0.261799,-0.357633,-0.095834
1.247724,-0.261799,-0.347333,-0.085534
1.257784,-0.261799,-0.333600,-0.071801
1.267845,-0.261799,-0.324826,-0.063027
1.277909,-0.261799,-0.312619,-0.050820
1.287968,-0.261799,-0.305753,-0.043953
1.298030,-0.261799,-0.298886,-0.037087
1.308090,-0.261799,-0.289349,-0.027550
1.318152,-0.261799,-0.284009,-0.022209
1.328216,-0.261799,-0.276379,-0.014580
1.338274,-0.261799,-0.272183,-0.010383
1.348328,-0.261799,-0.266079,-0.004280
1.358384,-0.261799,-0.263027,-0.001228
1.368436,-0.261799,-0.258450,0.003350
1.378488,-0.261799,-0.255779,0.006020
1.388540,-0.261799,-0.253109,0.008690
1.398592,-0.261799,-0.251202,0.010598
1.408641,-0.261799,-0.248913,0.012887
1.418701,-0.261799,-0.247768,0.014031
1.428763,-0.261799,-0.247005,0.014794
1.438827,-0.261799,-0.246624,0.015175
1.448889,-0.261799,-0.246242,0.015557
1.458952,-0.261799,-0.246242,0.015557
1.469010,-0.261799,-0.246242,0.015557
1.479073,-0.261799,-0.246242,0.015557
1.489136,-0.261799,-0.246624,0.015175
1.499195,-0.261799,-0.246624,0.015175
1.509259,-0.261799,-0.246624,0.015175
1.519318,-0.261799,-0.246624,0.015175
1.529377,-0.261799,-0.246624,0.015175
1.539439,-0.261799,-0.246624,0.015175
1.549501,-0.261799,-0.246624,0.015175
1.559565,-0.261799,-0.246624,0.015175
1.569626,-0.261799,-0.246624,0.015175
1.579687,-0.261799,-0.246624,0.015175
1.589725,-0.261799,-0.246624,0.015175
1.599788,-0.261799,-0.246624,0.015175
1.609849,-0.261799,-0.246624,0.015175
1.619912,-0.261799,-0.246624,0.015175
1.629975,-0.261799,-0.246624,0.015175
1.640040,-0.261799,-0.246624,0.015175
1.650100,-0.261799,-0.246624,0.015175
1.660156,-0.261799,-0.246624,0.015175
1.670208,-0.261799,-0.246624,0.015175
1.680260,-0.261799,-0.246624,0.015175
1.690323,-0.261799,-0.246624,0.015175
1.700385,-0.261799,-0.246624,0.015175
1.710449,-0.261799,-0.246624,0.015175
1.720502,-0.261799,-0.246624,0.015175
1.730564,-0.261799,-0.246624,0.015175
1.740629,-0.261799,-0.246624,0.015175
1.750687,-0.261799,-0.246624,0.015175
1.760748,-0.261799,-0.246624,0.015175
1.770808,-0.261799,-0.246624,0.015175
1.780871,-0.261799,-0.246624,0.015175
1.790934,-0.261799,-0.246624,0.015175
1.800995,-0.261799,-0.246624,0.015175
1.811057,-0.261799,-0.246624,0.015175
1.821121,-0.261799,-0.246624,0.015175
1.831182,-0.261799,-0.246624,0.015175
1.841246,-0.261799,-0.246624,0.015175
1.851300,-0.261799,-0.246624,0.015175
1.861351,-0.261799,-0.246624,0.015175
1.871402,-0.261799,-0.246624,0.015175
1.881452,-0.261799,-0.246624,0.015175
1.891503,-0.261799,-0.246624,0.015175
1.901555,-0.261799,-0.246624,0.015175
1.911605,-0.261799,-0.246624,0.015175
1.921658,-0.261799,-0.246624,0.015175
1.931718,-0.261799,-0.246624,0.015175
1.941770,-0.261799,-0.246624,0.015175
1.951829,-0.261799,-0.246624,0.015175
1.961889,-0.261799,-0.246624,0.015175
1.971949,-0.261799,-0.246624,0.015175
1.982000,-0.261799,-0.246624,0.015175
1.992050,-0.261799,-0.246624,0.015175
2.002112,-0.261799,-0.246624,0.015175
2.012171,-0.261799,-0.246624,0.015175
2.022233,-0.261799,-0.246624,0.015175
2.032297,-0.261799,-0.246624,0.015175
2.042358,-0.261799,-0.246624,0.015175
2.052409,-0.261799,-0.246624,0.015175
2.062468,-0.261799,-0.246624,0.015175
2.072529,-0.261799,-0.246624,0.015175
2.082588,-0.261799,-0.246624,0.015175
2.092651,-0.261799,-0.246624,0.015175
2.102711,-0.261799,-0.246624,0.015175
2.112772,-0.261799,-0.246624,0.015175
2.122833,-0.261799,-0.246624,0.015175
2.132896,-0.261799,-0.246624,0.015175
2.142959,-0.261799,-0.246624,0.015175
2.153019,-0.261799,-0.246624,0.015175
2.163078,-0.261799,-0.246624,0.015175
2.173138,-0.261799,-0.246624,0.015175
2.183199,-0.261799,-0.246624,0.015175
2.193260,-0.261799,-0.246624,0.015175
2.203322,-0.261799,-0.246624,0.015175
2.213382,-0.261799,-0.246624,0.015175
2.223443,-0.261799,-0.246624,0.015175
2.233503,-0.261799,-0.246624,0.015175
2.243556,-0.261799,-0.246624,0.015175
2.253607,-0.261799,-0.246624,0.015175
2.263667,-0.261799,-0.246624,0.015175
2.273725,-0.261799,-0.246624,0.015175
2.283789,-0.261799,-0.246624,0.015175
2.293849,-0.261799,-0.246624,0.015175
2.303901,-0.261799,-0.246624,0.015175
2.313954,-0.261799,-0.246624,0.015175
2.324008,-0.261799,-0.246624,0.015175
2.334061,-0.261799,-0.246624,0.015175
2.344115,-0.261799,-0.246624,0.015175
2.354202,-0.261799,-0.246624,0.015175
2.364255,-0.261799,-0.246624,0.015175
2.374307,-0.261799,-0.246624,0.015175
2.384359,-0.261799,-0.246624,0.015175
2.394410,-0.261799,-0.246624,0.015175
2.404462,-0.261799,-0.246624,0.015175
2.414513,-0.261799,-0.246624,0.015175
2.424575,-0.261799,-0.246624,0.015175
2.434639,-0.261799,-0.246624,0.015175
2.444701,-0.261799,-0.246624,0.015175
2.454760,-0.261799,-0.246624,0.015175
2.464821,-0.261799,-0.246624,0.015175
2.474882,-0.261799,-0.246624,0.015175
2.484947,-0.261799,-0.246624,0.015175
2.495009,-0.261799,-0.246624,0.015175
2.505070,-0.261799,-0.246624,0.015175
2.515130,-0.261799,-0.246624,0.015175
2.525193,-0.261799,-0.246624,0.015175
2.535257,-0.261799,-0.246624,0.015175
2.545310,-0.261799,-0.246624,0.015175
2.555365,-0.261799,-0.246624,0.015175
2.565418,-0.261799,-0.246624,0.015175
2.575471,-0.261799,-0.246624,0.015175
2.585523,-0.261799,-0.246624,0.015175
2.595584,-0.261799,-0.246624,0.015175
2.605637,-0.261799,-0.246624,0.015175
2.615691,-0.261799,-0.246624,0.015175
2.625820,-0.261799,-0.246624,0.015175
2.635883,-0.261799,-0.246624,0.015175
2.645944,-0.261799,-0.246624,0.015175
2.656007,-0.261799,-0.246624,0.015175
2.666074,-0.261799,-0.246624,0.015175
2.676141,-0.261799,-0.246624,0.015175
2.686202,-0.261799,-0.246624,0.015175
2.696262,-0.261799,-0.246624,0.015175
2.706324,-0.261799,-0.246624,0.015175
2.716383,-0.261799,-0.246624,0.015175
2.726447,-0.261799,-0.246624,0.015175
2.736502,-0.261799,-0.246624,0.015175
2.746554,-0.261799,-0.246624,0.015175
2.756606,-0.261799,-0.246624,0.015175
2.766660,-0.261799,-0.246624,0.015175
2.776711,-0.261799,-0.246624,0.015175
2.786725,-0.261799,-0.246624,0.015175
2.796777,-0.261799,-0.246624,0.015175
2.806829,-0.261799,-0.246624,0.015175
2.816888,-0.261799,-0.246624,0.015175
2.826941,-0.261799,-0.246624,0.015175
2.836993,-0.261799,-0.246624,0.015175
2.847051,-0.261799,-0.246624,0.015175
2.857108,-0.261799,-0.246624,0.015175
2.867160,-0.261799,-0.246624,0.015175
2.877213,-0.261799,-0.246624,0.015175
2.887273,-0.261799,-0.246624,0.015175
2.897336,-0.261799,-0.246624,0.015175
2.907400,-0.261799,-0.246624,0.015175
2.917463,-0.261799,-0.246624,0.015175
2.927523,-0.261799,-0.246624,0.015175
2.937584,-0.261799,-0.246624,0.015175
2.947645,-0.261799,-0.246624,0.015175
2.957705,-0.261799,-0.246624,0.015175
2.967767,-0.261799,-0.246624,0.015175
2.977831,-0.261799,-0.246624,0.015175
2.987896,-0.261799,-0.246624,0.015175
2.997958,-0.261799,-0.246624,0.015175
3.008021,-0.295398,-0.246624,0.048774
3.018085,-0.337555,-0.246624,0.090931
3.028138,-0.379662,-0.247005,0.132656
3.038200,-0.421812,-0.248531,0.173280
3.048254,-0.463923,-0.251202,0.212722
3.058317,-0.506076,-0.254253,0.251823
3.068378,-0.548219,-0.259594,0.288625
3.078441,-0.590370,-0.264935,0.325436
3.088504,-0.610865,-0.274853,0.336012
3.098568,-0.610865,-0.283246,0.327620
3.108635,-0.610865,-0.296597,0.314268
