t,ref,resp,err
0.000000,-0.610865,-0.607881,0.002984
0.010052,-0.610865,-0.607881,0.002984
0.020106,-0.610865,-0.607881,0.002984
0.030158,-0.610865,-0.607881,0.002984
0.040208,-0.610865,-0.607881,0.002984
0.050261,-0.610865,-0.607881,0.002984
0.060312,-0.610865,-0.607881,0.002984
0.070364,-0.610865,-0.607881,0.002984
0.080415,-0.610865,-0.607881,0.002984
0.090466,-0.610865,-0.607881,0.002984
0.100519,-0.610865,-0.607881,0.002984
0.110571,-0.610865,-0.607881,0.002984
0.120623,-0.610865,-0.607881,0.002984
0.130679,-0.610865,-0.607881,0.002984
0.140732,-0.610865,-0.607881,0.002984
0.150783,-0.610865,-0.607881,0.002984
0.160834,-0.610865,-0.607881,0.002984
0.170887,-0.610865,-0.607881,0.002984
0.180939,-0.610865,-0.607881,0.002984
0.190990,-0.610865,-0.607881,0.002984
0.201043,-0.610865,-0.607881,0.002984
0.211095,-0.610865,-0.607881,0.002984
0.221149,-0.610865,-0.607881,0.002984
0.231201,-0.610865,-0.607881,0.002984
0.241263,-0.610865,-0.607881,0.002984
0.251324,-0.610865,-0.607881,0.002984
0.261387,-0.610865,-0.607881,0.002984
0.271452,-0.610865,-0.607881,0.002984
0.281516,-0.610865,-0.607881,0.002984
0.291582,-0.610865,-0.607881,0.002984
0.301647,-0.610865,-0.607881,0.002984
0.311710,-0.610865,-0.607881,0.002984
0.321763,-0.610865,-0.607881,0.002984
0.331828,-0.610865,-0.607881,0.002984
0.341892,-0.610865,-0.607881,0.002984
0.351957,-0.610865,-0.607881,0.002984
0.362022,-0.610865,-0.607881,0.002984
0.372076,-0.610865,-0.607881,0.002984
0.382130,-0.610865,-0.607881,0.002984
0.392182,-0.610865,-0.607881,0.002984
0.402237,-0.610865,-0.607881,0.002984
0.412290,-0.610865,-0.607881,0.002984
0.422353,-0.610865,-0.607881,0.002984
0.432417,-0.610865,-0.607881,0.002984
0.442480,-0.610865,-0.607881,0.002984
0.452540,-0.610865,-0.607881,0.002984
0.462594,-0.610865,-0.607881,0.002984
0.472659,-0.610865,-0.607881,0.002984
0.482723,-0.610865,-0.607881,0.002984
0.492799,-0.610865,-0.607881,0.002984
0.502856,-0.610865,-0.607881,0.002984
0.512923,-0.610865,-0.607881,0.002984
0.522987,-0.610865,-0.607881,0.002984
0.533047,-0.610865,-0.607881,0.002984
0.543113,-0.610865,-0.607881,0.002984
0.553179,-0.610865,-0.607881,0.002984
0.563243,-0.610865,-0.607881,0.002984
0.573306,-0.610865,-0.607881,0.002984
0.583368,-0.610865,-0.607881,0.002984
0.593433,-0.610865,-0.607881,0.002984
0.603486,-0.610865,-0.607881,0.002984
0.613543,-0.610865,-0.607881,0.002984
0.623607,-0.610865,-0.607881,0.002984
0.633671,-0.610865,-0.607881,0.002984
0.643733,-0.610865,-0.607881,0.002984
0.653786,-0.610865,-0.607881,0.002984
0.663850,-0.610865,-0.607881,0.002984
0.673960,-0.610865,-0.607881,0.002984
0.684011,-0.610865,-0.607881,0.002984
0.694062,-0.610865,-0.607881,0.002984
0.704114,-0.610865,-0.607881,0.002984
0.714165,-0.610865,-0.607881,0.002984
0.724217,-0.610865,-0.607881,0.002984
0.734268,-0.610865,-0.607881,0.002984
0.744320,-0.610865,-0.607881,0.002984
