t,ex,ey,ez,e_pos,e_ang
0.000000,0.002617,0.001132,-0.016904,0.017143,0.083446
0.010064,0.002617,0.001132,-0.016904,0.017143,0.083446
0.020128,0.002617,0.001132,-0.016904,0.017143,0.083446
0.030194,0.002617,0.001132,-0.016904,0.017143,0.083446
0.040254,0.002617,0.001132,-0.016904,0.017143,0.083446
0.050303,0.002617,0.001132,-0.016904,0.017143,0.083446
0.060358,0.002617,0.001132,-0.016904,0.017143,0.083446
0.070410,0.002617,0.001132,-0.016904,0.017143,0.083446
0.080463,0.002617,0.001132,-0.016904,0.017143,0.083446
0.090517,0.002617,0.001132,-0.016904,0.017143,0.083446
0.100578,0.002617,0.001132,-0.016904,0.017143,0.083446
0.110630,0.002617,0.001132,-0.016904,0.017143,0.083446
0.120682,0.002617,0.001132,-0.016904,0.017143,0.083446
0.130734,0.002617,0.001132,-0.016904,0.017143,0.083446
0.140785,0.002617,0.001132,-0.016904,0.017143,0.083446
0.150838,0.002617,0.001132,-0.016904,0.017143,0.083446
0.160891,0.002617,0.001132,-0.016904,0.017143,0.083446
0.170950,0.002617,0.001132,-0.016904,0.017143,0.083446
0.181009,0.002617,0.001132,-0.016904,0.017143,0.083446
0.191065,0.002617,0.001132,-0.016904,0.017143,0.083446
0.201127,0.002617,0.001132,-0.016904,0.017143,0.083446
0.211191,0.002617,0.001132,-0.016904,0.017143,0.083446
0.221254,0.002617,0.001132,-0.016904,0.017143,0.083446
0.231307,0.002617,0.001132,-0.016904,0.017143,0.083446
0.241361,0.002617,0.001132,-0.016904,0.017143,0.083446
0.251413,0.002617,0.001132,-0.016904,0.017143,0.083446
0.261465,0.002617,0.001132,-0.016904,0.017143,0.083446
0.271518,0.002617,0.001132,-0.016904,0.017143,0.083446
0.281573,0.002617,0.001132,-0.016910,0.017149,0.083446
0.291633,0.002617,0.001132,-0.016922,0.017160,0.083446
0.301695,0.002617,0.001132,-0.016935,0.017173,0.083446
0.311748,0.002617,0.001132,-0.016948,0.017186,0.083446
0.321802,0.002617,0.001132,-0.016962,0.017200,0.083446
