t,q1,q2,q3,q4,q5,q6
0.834791,0.013401,-0.001316,0.046285,0.037728,-0.001933,-0.002538
0.844855,0.013417,-0.001324,0.046665,0.037356,-0.001949,-0.002542
0.854954,0.013435,-0.001331,0.047052,0.036976,-0.001966,-0.002547
0.865019,0.013474,-0.001342,0.047852,0.036187,-0.002004,-0.002557
0.875083,0.013495,-0.001346,0.048265,0.035778,-0.002025,-0.002562
0.885147,0.013518,-0.001348,0.048690,0.035355,-0.002046,-0.002568
0.895213,0.013542,-0.001350,0.049118,0.034928,-0.002069,-0.002574
0.905277,0.013567,-0.001349,0.049560,0.034486,-0.002093,-0.002581
0.915301,0.013593,-0.001348,0.050005,0.034040,-0.002119,-0.002587
0.925367,0.013621,-0.001345,0.050464,0.033577,-0.002146,-0.002595
0.935428,0.013650,-0.001340,0.050930,0.033106,-0.002174,-0.002602
0.945491,0.013681,-0.001333,0.051024,0.032625,-0.002204,-0.002610
0.955553,0.013713,-0.001325,0.051507,0.032133,-0.002235,-0.002619
0.965619,0.013747,-0.001314,0.051618,0.031630,-0.002268,-0.002627
0.975685,0.013783,-0.001302,0.051737,0.031117,-0.002303,-0.002637
0.985752,0.013821,-0.001287,0.051485,0.030592,-0.002339,-0.002646
0.995818,0.013860,-0.000889,0.051241,0.030056,-0.002377,-0.002657
1.005882,0.013902,-0.000870,0.051007,0.029508,-0.002417,-0.002667
1.015949,0.013945,-0.000848,0.050781,0.028949,-0.002459,-0.002679
1.026012,0.013991,-0.000824,0.050184,0.028378,-0.002503,-0.002690
1.036076,0.014039,-0.000797,0.049977,0.027795,-0.002549,-0.002703
1.046140,0.014089,-0.000768,0.049016,0.027200,-0.002597,-0.002716
1.056203,0.014141,-0.000735,0.048446,0.026593,-0.002648,-0.002729
1.066256,0.014195,-0.000699,0.047504,0.025974,-0.002701,-0.002743
1.076321,0.013871,-0.000661,0.046953,0.025342,-0.002756,-0.002758
1.086383,0.013931,-0.000618,0.046792,0.024697,-0.002814,-0.002774
1.096451,0.013993,-0.000573,0.045878,0.024040,-0.002874,-0.002790
