t,ref,resp,err
0.000000,-0.610865,-0.568971,0.041894
0.010062,-0.610865,-0.568971,0.041894
0.020123,-0.610865,-0.568971,0.041894
0.030181,-0.610865,-0.568971,0.041894
0.040241,-0.610865,-0.568971,0.041894
0.050301,-0.610865,-0.568971,0.041894
0.060364,-0.610865,-0.568971,0.041894
0.070427,-0.610865,-0.568971,0.041894
0.080487,-0.610865,-0.568971,0.041894
0.090548,-0.610865,-0.568971,0.041894
0.100608,-0.610865,-0.568971,0.041894
0.110670,-0.610865,-0.568971,0.041894
0.120730,-0.610865,-0.568971,0.041894
0.130850,-0.610865,-0.568971,0.041894
0.140911,-0.610865,-0.568971,0.041894
0.150994,-0.610865,-0.568971,0.041894
0.161054,-0.610865,-0.568971,0.041894
0.171114,-0.610865,-0.568971,0.041894
0.181175,-0.610865,-0.568971,0.041894
0.191239,-0.610865,-0.568971,0.041894
0.201298,-0.610865,-0.568971,0.041894
0.211360,-0.610865,-0.568971,0.041894
0.221419,-0.610865,-0.568971,0.041894
0.231481,-0.610865,-0.568971,0.041894
0.241540,-0.610865,-0.568971,0.041894
0.251602,-0.610865,-0.568971,0.041894
0.261662,-0.610865,-0.568971,0.041894
0.271723,-0.610865,-0.568971,0.041894
0.281787,-0.610865,-0.568971,0.041894
0.291848,-0.610865,-0.568971,0.041894
0.301908,-0.610865,-0.568971,0.041894
0.311970,-0.610865,-0.568971,0.041894
0.322029,-0.610865,-0.568971,0.041894
0.332090,-0.610865,-0.568971,0.041894
0.342152,-0.610865,-0.568971,0.041894
0.352213,-0.610865,-0.568971,0.041894
0.362274,-0.610865,-0.568971,0.041894
0.372334,-0.610865,-0.568971,0.041894
0.382396,-0.610865,-0.568971,0.041894
0.392456,-0.610865,-0.568971,0.041894
0.402518,-0.610865,-0.568971,0.041894
0.412578,-0.610865,-0.568971,0.041894
0.422638,-0.610865,-0.568971,0.041894
0.432702,-0.610865,-0.568971,0.041894
0.442762,-0.610865,-0.568971,0.041894
0.452825,-0.610865,-0.568971,0.041894
0.462884,-0.610865,-0.568971,0.041894
0.472943,-0.610865,-0.568971,0.041894
0.483006,-0.610865,-0.568971,0.041894
0.493065,-0.610865,-0.568971,0.041894
0.503126,-0.610865,-0.568971,0.041894
0.513190,-0.610865,-0.568971,0.041894
0.523253,-0.610865,-0.568971,0.041894
0.533316,-0.610865,-0.568971,0.041894
0.543368,-0.610865,-0.568971,0.041894
0.553432,-0.610865,-0.568971,0.041894
0.563498,-0.610865,-0.568971,0.041894
0.573559,-0.610865,-0.568971,0.041894
0.583622,-0.610865,-0.568971,0.041894
0.593685,-0.610865,-0.568971,0.041894
0.603749,-0.610865,-0.568971,0.041894
0.613811,-0.610865,-0.568971,0.041894
0.623873,-0.610865,-0.568971,0.041894
0.633936,-0.610865,-0.568971,0.041894
0.644057,-0.610865,-0.568971,0.041894
0.654121,-0.610865,-0.568971,0.041894
0.664186,-0.610865,-0.568971,0.041894
0.674248,-0.610865,-0.568971,0.041894
0.684310,-0.610865,-0.568971,0.041894
0.694374,-0.610865,-0.568971,0.041894
0.704435,-0.610865,-0.568971,0.041894
0.714498,-0.610865,-0.568971,0.041894
0.724561,-0.610865,-0.568971,0.041894
0.734621,-0.610865,-0.568971,0.041894
0.744684,-0.610865,-0.568971,0.041894
0.754748,-0.610865,-0.568971,0.041894
0.764814,-0.610865,-0.568971,0.041894
0.774875,-0.610865,-0.568971,0.041894
0.784941,-0.610865,-0.568971,0.041894
0.795003,-0.610865,-0.568971,0.041894
0.805055,-0.610865,-0.568971,0.041894
0.815117,-0.610865,-0.568971,0.041894
0.825181,-0.610865,-0.568971,0.041894
0.835244,-0.610865,-0.568971,0.041894
0.845309,-0.610865,-0.568971,0.041894
0.855371,-0.610865,-0.568971,0.041894
0.865435,-0.610865,-0.568971,0.041894
0.875498,-0.610865,-0.568971,0.041894
0.885562,-0.610865,-0.568971,0.041894
0.895624,-0.610865,-0.568971,0.041894
0.905686,-0.610865,-0.568971,0.041894
0.915750,-0.610865,-0.568971,0.041894
0.925815,-0.610865,-0.568971,0.041894
0.935876,-0.610865,-0.568971,0.041894
0.945940,-0.610865,-0.568971,0.041894
0.956003,-0.610865,-0.568971,0.041894
0.966069,-0.610865,-0.568971,0.041894
0.976129,-0.610865,-0.568971,0.041894
0.986193,-0.610865,-0.568971,0.041894
0.996269,-0.610865,-0.568971,0.041894
1.006333,-0.584339,-0.568971,0.015368
1.016398,-0.542178,-0.568971,-0.026793
1.026462,-0.500021,-0.568971,-0.068950
1.036524,-0.457874,-0.568208,-0.110334
1.046587,-0.415721,-0.565919,-0.150198
1.056651,-0.373566,-0.562486,-0.188920
1.066716,-0.331407,-0.552949,-0.221542
1.076777,-0.289261,-0.543412,-0.254151
1.086840,-0.261799,-0.524338,-0.262539
1.096904,-0.261799,-0.508698,-0.246898
1.106965,-0.261799,-0.481994,-0.220195
1.117028,-0.261799,-0.462158,-0.200358
1.127061,-0.261799,-0.432403,-0.170603
1.137127,-0.261799,-0.412947,-0.151148
1.147192,-0.261799,-0.386244,-0.124445
1.157256,-0.261799,-0.369841,-0.108041
1.167321,-0.261799,-0.347715,-0.085916
1.177375,-0.261799,-0.333982,-0.072182
1.187429,-0.261799,-0.316052,-0.054253
1.197482,-0.261799,-0.306134,-0.044335
1.207535,-0.261799,-0.290875,-0.029076
1.217553,-0.261799,-0.280575,-0.018776
1.227615,-0.261799,-0.271801,-0.010002
1.237675,-0.261799,-0.263409,-0.001609
1.247737,-0.261799,-0.259594,0.002205
1.257797,-0.261799,-0.254253,0.007546
1.267858,-0.261799,-0.251583,0.010216
1.277922,-0.261799,-0.250439,0.011361
1.287984,-0.261799,-0.250439,0.011361
1.298041,-0.261799,-0.250439,0.011361
1.308104,-0.261799,-0.250439,0.011361
1.318163,-0.261799,-0.250820,0.010979
1.328224,-0.261799,-0.250820,0.010979
1.338288,-0.261799,-0.250820,0.010979
1.348352,-0.261799,-0.250820,0.010979
1.358412,-0.261799,-0.250820,0.010979
1.368478,-0.261799,-0.250820,0.010979
1.378540,-0.261799,-0.250820,0.010979
1.388602,-0.261799,-0.250820,0.010979
1.398664,-0.261799,-0.250820,0.010979
1.408723,-0.261799,-0.250820,0.010979
1.418783,-0.261799,-0.250820,0.010979
1.428835,-0.261799,-0.250820,0.010979
1.438902,-0.261799,-0.250820,0.010979
1.448964,-0.261799,-0.250820,0.010979
1.459024,-0.261799,-0.250820,0.010979
1.469087,-0.261799,-0.250820,0.010979
1.479146,-0.261799,-0.250820,0.010979
1.489207,-0.261799,-0.250820,0.010979
1.499270,-0.261799,-0.250820,0.010979
1.509334,-0.261799,-0.250820,0.010979
1.519394,-0.261799,-0.250820,0.010979
1.529457,-0.261799,-0.250820,0.010979
1.539518,-0.261799,-0.250820,0.010979
1.549580,-0.261799,-0.250820,0.010979
1.559643,-0.261799,-0.250820,0.010979
1.569710,-0.261799,-0.250820,0.010979
1.579776,-0.261799,-0.250820,0.010979
1.589840,-0.261799,-0.250820,0.010979
1.599901,-0.261799,-0.250820,0.010979
1.609962,-0.261799,-0.250820,0.010979
1.620024,-0.261799,-0.250820,0.010979
1.630085,-0.261799,-0.250820,0.010979
1.640150,-0.261799,-0.250820,0.010979
1.650211,-0.261799,-0.250820,0.010979
1.660272,-0.261799,-0.250820,0.010979
1.670394,-0.261799,-0.250820,0.010979
1.680457,-0.261799,-0.250820,0.010979
1.690520,-0.261799,-0.250820,0.010979
1.700583,-0.261799,-0.250820,0.010979
1.710644,-0.261799,-0.250820,0.010979
1.720705,-0.261799,-0.250820,0.010979
1.730766,-0.261799,-0.250820,0.010979
1.740827,-0.261799,-0.250820,0.010979
1.750892,-0.261799,-0.250820,0.010979
1.760952,-0.261799,-0.250820,0.010979
1.771016,-0.261799,-0.250820,0.010979
1.781061,-0.261799,-0.250820,0.010979
1.791124,-0.261799,-0.250820,0.010979
1.801186,-0.261799,-0.250820,0.010979
1.811250,-0.261799,-0.250820,0.010979
1.821313,-0.261799,-0.250820,0.010979
1.831378,-0.261799,-0.250820,0.010979
1.841439,-0.261799,-0.250820,0.010979
1.851503,-0.261799,-0.250820,0.010979
1.861566,-0.261799,-0.250820,0.010979
1.871632,-0.261799,-0.250820,0.010979
1.881692,-0.261799,-0.250820,0.010979
1.891744,-0.261799,-0.250820,0.010979
1.901796,-0.261799,-0.250820,0.010979
1.911848,-0.261799,-0.250820,0.010979
1.921900,-0.261799,-0.250820,0.010979
1.931952,-0.261799,-0.250820,0.010979
1.942003,-0.261799,-0.250820,0.010979
1.952047,-0.261799,-0.250820,0.010979
1.962099,-0.261799,-0.250820,0.010979
1.972152,-0.261799,-0.250820,0.010979
1.982204,-0.261799,-0.250820,0.010979
1.992256,-0.261799,-0.250820,0.010979
2.002308,-0.261799,-0.250820,0.010979
2.012360,-0.261799,-0.250820,0.010979
2.022413,-0.261799,-0.250820,0.010979
2.032474,-0.261799,-0.250820,0.010979
2.042527,-0.261799,-0.250820,0.010979
2.052578,-0.261799,-0.250820,0.010979
2.062630,-0.261799,-0.250820,0.010979
2.072684,-0.261799,-0.250820,0.010979
2.082748,-0.261799,-0.250820,0.010979
2.092835,-0.261799,-0.250820,0.010979
2.102888,-0.261799,-0.250820,0.010979
2.112940,-0.261799,-0.250820,0.010979
2.122991,-0.261799,-0.250820,0.010979
2.133043,-0.261799,-0.250820,0.010979
2.143057,-0.261799,-0.250820,0.010979
2.153109,-0.261799,-0.250820,0.010979
2.163162,-0.261799,-0.250820,0.010979
2.173214,-0.261799,-0.250820,0.010979
2.183266,-0.261799,-0.250820,0.010979
2.193318,-0.261799,-0.250820,0.010979
2.203370,-0.261799,-0.250820,0.010979
2.213424,-0.261799,-0.250820,0.010979
2.223486,-0.261799,-0.250820,0.010979
2.233538,-0.261799,-0.250820,0.010979
2.243590,-0.261799,-0.250820,0.010979
2.253642,-0.261799,-0.250820,0.010979
2.263694,-0.261799,-0.250820,0.010979
2.273746,-0.261799,-0.250820,0.010979
2.283797,-0.261799,-0.250820,0.010979
2.293850,-0.261799,-0.250820,0.010979
2.304002,-0.261799,-0.250820,0.010979
2.314048,-0.261799,-0.250820,0.010979
2.324100,-0.261799,-0.250820,0.010979
2.334152,-0.261799,-0.250820,0.010979
2.344204,-0.261799,-0.250820,0.010979
2.354256,-0.261799,-0.250820,0.010979
2.364307,-0.261799,-0.250820,0.010979
2.374360,-0.261799,-0.250820,0.010979
2.384412,-0.261799,-0.250820,0.010979
2.394473,-0.261799,-0.250820,0.010979
2.404526,-0.261799,-0.250820,0.010979
2.414578,-0.261799,-0.250820,0.010979
2.424630,-0.261799,-0.250820,0.010979
2.434683,-0.261799,-0.250820,0.010979
