t,ref,resp,err
0.000000,-0.261799,-0.240139,0.021661
0.010053,-0.261799,-0.240139,0.021661
0.020115,-0.261799,-0.240139,0.021661
0.030171,-0.261799,-0.240139,0.021661
0.040232,-0.261799,-0.240139,0.021661
0.050294,-0.261799,-0.240139,0.021661
0.060357,-0.261799,-0.240139,0.021661
0.070421,-0.261799,-0.240139,0.021661
0.080483,-0.261799,-0.240139,0.021661
0.090545,-0.261799,-0.240139,0.021661
0.100609,-0.261799,-0.240139,0.021661
0.110673,-0.261799,-0.240139,0.021661
0.120736,-0.261799,-0.240139,0.021661
0.130798,-0.261799,-0.240139,0.021661
0.140862,-0.261799,-0.240139,0.021661
0.150926,-0.261799,-0.240139,0.021661
0.161100,-0.261799,-0.240139,0.021661
0.171119,-0.261799,-0.240139,0.021661
0.181180,-0.261799,-0.240139,0.021661
0.191243,-0.261799,-0.240139,0.021661
0.201307,-0.261799,-0.240139,0.021661
0.211372,-0.261799,-0.240139,0.021661
0.221434,-0.261799,-0.240139,0.021661
0.231497,-0.261799,-0.240139,0.021661
0.241550,-0.261799,-0.240139,0.021661
0.251602,-0.261799,-0.240139,0.021661
0.261654,-0.261799,-0.240139,0.021661
0.271706,-0.261799,-0.240139,0.021661
0.281767,-0.261799,-0.240139,0.021661
0.291828,-0.261799,-0.240139,0.021661
0.301893,-0.261799,-0.240139,0.021661
0.311959,-0.261799,-0.240139,0.021661
0.322024,-0.261799,-0.240139,0.021661
0.332086,-0.261799,-0.240139,0.021661
0.342149,-0.261799,-0.240139,0.021661
0.352209,-0.261799,-0.240139,0.021661
0.362272,-0.261799,-0.240139,0.021661
0.372328,-0.261799,-0.240139,0.021661
0.382391,-0.261799,-0.240139,0.021661
0.392567,-0.261799,-0.240139,0.021661
0.402632,-0.261799,-0.240139,0.021661
0.412694,-0.261799,-0.240139,0.021661
0.422758,-0.261799,-0.240139,0.021661
0.432822,-0.261799,-0.240139,0.021661
0.442886,-0.261799,-0.240139,0.021661
0.452948,-0.261799,-0.240139,0.021661
0.463010,-0.261799,-0.240139,0.021661
0.473073,-0.261799,-0.240139,0.021661
0.483134,-0.261799,-0.240139,0.021661
0.493198,-0.261799,-0.240139,0.021661
0.503261,-0.261799,-0.240139,0.021661
0.513322,-0.261799,-0.240139,0.021661
0.523384,-0.261799,-0.240139,0.021661
0.533449,-0.261799,-0.240139,0.021661
0.543513,-0.261799,-0.240139,0.021661
0.553577,-0.261799,-0.240139,0.021661
0.563639,-0.261799,-0.240139,0.021661
0.573702,-0.261799,-0.240139,0.021661
0.583766,-0.261799,-0.240139,0.021661
0.593827,-0.261799,-0.240139,0.021661
0.603890,-0.261799,-0.240139,0.021661
0.613954,-0.261799,-0.240139,0.021661
0.624134,-0.261799,-0.240139,0.021661
0.634198,-0.261799,-0.240139,0.021661
0.644258,-0.261799,-0.240139,0.021661
0.654320,-0.261799,-0.240139,0.021661
0.664384,-0.261799,-0.240139,0.021661
0.674446,-0.261799,-0.240139,0.021661
0.684509,-0.261799,-0.240139,0.021661
0.694573,-0.261799,-0.240139,0.021661
0.704637,-0.261799,-0.240139,0.021661
0.714699,-0.261799,-0.240139,0.021661
0.724762,-0.261799,-0.240139,0.021661
0.734826,-0.261799,-0.240139,0.021661
0.744890,-0.261799,-0.240139,0.021661
0.754952,-0.261799,-0.240139,0.021661
0.765015,-0.261799,-0.240139,0.021661
0.775078,-0.261799,-0.240139,0.021661
0.785141,-0.261799,-0.240139,0.021661
0.795203,-0.261799,-0.240139,0.021661
0.805267,-0.261799,-0.240139,0.021661
0.815328,-0.261799,-0.240139,0.021661
0.825391,-0.261799,-0.240139,0.021661
0.835454,-0.261799,-0.240139,0.021661
0.845518,-0.261799,-0.240139,0.021661
0.855579,-0.261799,-0.240139,0.021661
0.865642,-0.261799,-0.240139,0.021661
0.875706,-0.261799,-0.240139,0.021661
0.885770,-0.261799,-0.240139,0.021661
0.895832,-0.261799,-0.240139,0.021661
0.905895,-0.261799,-0.240139,0.021661
0.915960,-0.261799,-0.240139,0.021661
0.926015,-0.261799,-0.240139,0.021661
0.936079,-0.261799,-0.240139,0.021661
0.946120,-0.261799,-0.240139,0.021661
0.956183,-0.261799,-0.240139,0.021661
0.966247,-0.261799,-0.240139,0.021661
0.976312,-0.261799,-0.240139,0.021661
0.986372,-0.261799,-0.240139,0.021661
0.996436,-0.261799,-0.240139,0.021661
1.006500,-0.234573,-0.240139,-0.005566
1.016564,-0.192415,-0.240139,-0.047724
1.026625,-0.150273,-0.239757,-0.089484
1.036688,-0.108120,-0.239376,-0.131256
1.046774,-0.065873,-0.237469,-0.171596
1.056840,-0.023710,-0.234035,-0.210325
1.066894,0.018404,-0.228313,-0.246717
1.076954,0.060543,-0.214580,-0.275123
1.087017,0.102696,-0.201991,-0.304687
1.097081,0.144855,-0.176814,-0.321668
1.107144,0.187004,-0.155833,-0.342837
1.117207,0.229155,-0.117304,-0.346459
1.127270,0.261799,-0.087167,-0.348967
1.137334,0.261799,-0.036431,-0.298230
1.147396,0.261799,0.000954,-0.260846
1.157458,0.261799,0.058556,-0.203243
1.167522,0.261799,0.096704,-0.165095
1.177581,0.261799,0.153544,-0.108255
1.187645,0.261799,0.189021,-0.072778
1.197709,0.261799,0.237850,-0.023949
1.207770,0.261799,0.265698,0.003898
1.217833,0.261799,0.298886,0.037087
1.227897,0.261799,0.315290,0.053490
1.237961,0.261799,0.332074,0.070275
1.248023,0.261799,0.338941,0.077142
1.258105,0.261799,0.341611,0.079812
1.268166,0.261799,0.339704,0.077905
1.278227,0.261799,0.335889,0.074090
1.288290,0.261799,0.326734,0.064934
1.298350,0.261799,0.317960,0.056160
1.308414,0.261799,0.301938,0.040139
1.318478,0.261799,0.290875,0.029076
1.328538,0.261799,0.274853,0.013054
1.338600,0.261799,0.264935,0.003135
1.348664,0.261799,0.251583,-0.010216
1.358724,0.261799,0.243954,-0.017846
1.368786,0.261799,0.235943,-0.025857
1.378845,0.261799,0.233272,-0.028527
1.388909,0.261799,0.231746,-0.030053
1.398969,0.261799,0.232509,-0.029290
1.409031,0.261799,0.233272,-0.028527
1.419091,0.261799,0.233654,-0.028146
1.429118,0.261799,0.235561,-0.026238
1.439178,0.261799,0.237850,-0.023949
1.449241,0.261799,0.242046,-0.019753
1.459300,0.261799,0.244717,-0.017083
1.469457,0.261799,0.247768,-0.014031
1.479520,0.261799,0.249294,-0.012505
1.489579,0.261799,0.251202,-0.010598
1.499640,0.261799,0.251965,-0.009835
1.509701,0.261799,0.251965,-0.009835
1.519764,0.261799,0.251583,-0.010216
1.529822,0.261799,0.251583,-0.010216
1.539885,0.261799,0.251583,-0.010216
1.549944,0.261799,0.251583,-0.010216
1.560005,0.261799,0.251583,-0.010216
1.570067,0.261799,0.251583,-0.010216
1.580128,0.261799,0.251583,-0.010216
1.590187,0.261799,0.251583,-0.010216
1.600248,0.261799,0.251583,-0.010216
1.610309,0.261799,0.251583,-0.010216
1.620371,0.261799,0.251583,-0.010216
1.630431,0.261799,0.251583,-0.010216
1.640491,0.261799,0.251583,-0.010216
1.650553,0.261799,0.251583,-0.010216
1.660614,0.261799,0.251583,-0.010216
1.670678,0.261799,0.251583,-0.010216
1.680818,0.261799,0.251583,-0.010216
