t,q1,q2,q3,q4,q5,q6
0.730000,-0.349168,0.611370,-0.443294,-0.429876,0.000098,0.000026
0.740000,-0.349177,0.611384,-0.443593,-0.429590,0.000107,0.000029
0.750000,-0.349186,0.611398,-0.443900,-0.429297,0.000116,0.000031
0.760000,-0.349197,0.611411,-0.444214,-0.428996,0.000126,0.000034
0.770000,-0.349207,0.611423,-0.444536,-0.428686,0.000137,0.000037
0.780000,-0.349219,0.611435,-0.444866,-0.428368,0.000148,0.000040
0.790000,-0.349232,0.611447,-0.445208,-0.428038,0.000160,0.000043
0.800000,-0.349245,0.611458,-0.445552,-0.427705,0.000173,0.000046
0.810000,-0.349259,0.611468,-0.445909,-0.427359,0.000186,0.000050
0.820000,-0.349274,0.611478,-0.446273,-0.427004,0.000201,0.000054
0.830000,-0.349290,0.611486,-0.446644,-0.426642,0.000216,0.000058
0.840000,-0.349307,0.611494,-0.447023,-0.426271,0.000233,0.000062
0.850000,-0.349324,0.611501,-0.447411,-0.425890,0.000250,0.000067
0.860000,-0.349343,0.611507,-0.447806,-0.425500,0.000268,0.000072
0.870000,-0.349363,0.611512,-0.448210,-0.425101,0.000287,0.000077
0.880000,-0.349385,0.611516,-0.448623,-0.424692,0.000308,0.000083
0.890000,-0.349407,0.611519,-0.449049,-0.424269,0.000330,0.000088
0.900000,-0.349431,0.611520,-0.449477,-0.423843,0.000352,0.000094
0.910000,-0.349456,0.611520,-0.449918,-0.423401,0.000377,0.000101
0.920000,-0.349482,0.611518,-0.450363,-0.422954,0.000402,0.000108
0.930000,-0.349510,0.611515,-0.450822,-0.422492,0.000429,0.000115
0.940000,-0.349539,0.611510,-0.451289,-0.422020,0.000457,0.000123
0.950000,-0.349570,0.611503,-0.451764,-0.421539,0.000487,0.000131
0.960000,-0.349603,0.611495,-0.452247,-0.421047,0.000518,0.000139
0.970000,-0.349637,0.611485,-0.452739,-0.420545,0.000551,0.000148
0.980000,-0.349673,0.611472,-0.453240,-0.420031,0.000586,0.000157
0.990000,-0.349710,0.611458,-0.453751,-0.419506,0.000622,0.000167
1.000000,-0.349750,0.611441,-0.454270,-0.418970,0.000661,0.000177
