t,ex,ey,ez,e_pos,e_ang
0.000000,0.001699,0.000887,-0.014197,0.014326,0.072875
0.010053,0.001699,0.000887,-0.014197,0.014326,0.072875
0.020105,0.001699,0.000887,-0.014197,0.014326,0.072875
0.030157,0.001699,0.000887,-0.014197,0.014326,0.072875
0.040209,0.001699,0.000887,-0.014197,0.014326,0.072875
0.050261,0.001699,0.000887,-0.014197,0.014326,0.072875
0.060315,0.001699,0.000887,-0.014197,0.014326,0.072875
0.070367,0.001699,0.000887,-0.014197,0.014326,0.072875
0.080418,0.001699,0.000887,-0.014197,0.014326,0.072875
0.090470,0.001699,0.000887,-0.014197,0.014326,0.072875
0.100543,0.001699,0.000887,-0.014197,0.014326,0.072875
0.110595,0.001699,0.000887,-0.014197,0.014326,0.072875
0.120647,0.001699,0.000887,-0.014197,0.014326,0.072875
0.130698,0.001699,0.000887,-0.014197,0.014326,0.072875
0.140750,0.001699,0.000887,-0.014197,0.014326,0.072875
0.150802,0.001699,0.000887,-0.014197,0.014326,0.072875
0.160854,0.001699,0.000887,-0.014197,0.014326,0.072875
0.170905,0.001699,0.000887,-0.014197,0.014326,0.072875
0.180957,0.001699,0.000887,-0.014197,0.014326,0.072875
0.190969,0.001699,0.000887,-0.014197,0.014326,0.072875
0.201020,0.001699,0.000887,-0.014197,0.014326,0.072875
0.211072,0.001699,0.000887,-0.014197,0.014326,0.072875
0.221124,0.001699,0.000887,-0.014197,0.014326,0.072875
0.231176,0.001699,0.000887,-0.014197,0.014326,0.072875
0.241228,0.001699,0.000887,-0.014197,0.014326,0.072875
0.251280,0.001699,0.000887,-0.014197,0.014326,0.072875
0.261332,0.001699,0.000887,-0.014197,0.014326,0.072875
0.271383,0.001699,0.000887,-0.014197,0.014326,0.072875
0.281435,0.001699,0.000887,-0.014203,0.014332,0.072875
0.291555,0.001699,0.000887,-0.014215,0.014343,0.072875
0.301607,0.001699,0.000887,-0.014227,0.014356,0.072875
0.311658,0.001699,0.000887,-0.014241,0.014370,0.072875
0.321710,0.001699,0.000887,-0.014255,0.014384,0.072875
0.331762,0.001699,0.000887,-0.014270,0.014398,0.072875
0.341813,0.001699,0.000887,-0.014286,0.014415,0.072875
0.351865,0.001719,0.000941,-0.014304,0.014437,0.072877
0.361917,0.001699,0.000887,-0.014322,0.014450,0.072875
0.371970,0.001700,0.000887,-0.014341,0.014468,0.072875
0.382022,0.001700,0.000887,-0.014362,0.014489,0.072875
0.392075,0.001700,0.000887,-0.014383,0.014510,0.072875
0.402128,0.001700,0.000887,-0.014405,0.014532,0.072875
0.412181,0.001700,0.000887,-0.014428,0.014555,0.072875
0.422232,0.001700,0.000887,-0.014453,0.014580,0.072875
0.432284,0.001700,0.000887,-0.014479,0.014605,0.072875
0.442342,0.001701,0.000887,-0.014506,0.014632,0.072875
0.452404,0.001701,0.000887,-0.014534,0.014660,0.072875
0.462467,0.001701,0.000887,-0.014564,0.014690,0.072875
0.472531,0.001701,0.000887,-0.014595,0.014720,0.072875
0.482588,0.001702,0.000887,-0.014627,0.014752,0.072875
0.492639,0.001721,0.000941,-0.014661,0.014791,0.072877
0.502691,0.001702,0.000887,-0.014696,0.014820,0.072875
0.512743,0.001703,0.000887,-0.014732,0.014856,0.072875
0.522795,0.001703,0.000887,-0.014769,0.014894,0.072875
0.532846,0.001704,0.000887,-0.014808,0.014933,0.072875
0.542898,0.001705,0.000887,-0.014849,0.014973,0.072875
0.552949,0.001705,0.000887,-0.014891,0.015014,0.072875
0.562969,0.001706,0.000887,-0.014934,0.015058,0.072875
0.572980,0.001707,0.000887,-0.014979,0.015102,0.072875
0.583032,0.001708,0.000887,-0.015027,0.015150,0.072875
0.593085,0.001709,0.000887,-0.015075,0.015197,0.072875
0.603137,0.001710,0.000887,-0.015124,0.015246,0.072875
0.613189,0.001711,0.000887,-0.015176,0.015298,0.072875
0.623241,0.001713,0.000887,-0.015230,0.015351,0.072875
0.633294,0.001714,0.000887,-0.015284,0.015405,0.072875
0.643346,0.001716,0.000887,-0.015341,0.015462,0.072875
0.653398,0.001717,0.000887,-0.015399,0.015520,0.072875
