t,px,py,pz,qw,qx,qy,qz
0.000000,0.142295,-0.050286,0.297007,0.980466,-0.018140,-0.092623,-0.172561
0.010053,0.142295,-0.050286,0.297007,0.980466,-0.018140,-0.092623,-0.172561
0.020105,0.142295,-0.050286,0.297007,0.980466,-0.018140,-0.092623,-0.172561
0.030157,0.142295,-0.050286,0.297007,0.980466,-0.018140,-0.092623,-0.172561
0.040209,0.142295,-0.050286,0.297007,0.980466,-0.018140,-0.092623,-0.172561
0.050261,0.142295,-0.050286,0.297007,0.980466,-0.018140,-0.092623,-0.172561
0.060315,0.142295,-0.050286,0.297007,0.980466,-0.018140,-0.092623,-0.172561
0.070367,0.142295,-0.050286,0.297007,0.980466,-0.018140,-0.092623,-0.172561
0.080418,0.142295,-0.050286,0.297007,0.980466,-0.018140,-0.092623,-0.172561
0.090470,0.142295,-0.050286,0.297007,0.980466,-0.018140,-0.092623,-0.172561
0.100543,0.142295,-0.050286,0.297007,0.980466,-0.018140,-0.092623,-0.172561
0.110595,0.142295,-0.050286,0.297007,0.980466,-0.018140,-0.092623,-0.172561
0.120647,0.142295,-0.050286,0.297007,0.980466,-0.018140,-0.092623,-0.172561
0.130698,0.142295,-0.050286,0.297007,0.980466,-0.018140,-0.092623,-0.172561
0.140750,0.142295,-0.050286,0.297007,0.980466,-0.018140,-0.092623,-0.172561
0.150802,0.142295,-0.050286,0.297007,0.980466,-0.018140,-0.092623,-0.172561
0.160854,0.142295,-0.050286,0.297007,0.980466,-0.018140,-0.092623,-0.172561
0.170905,0.142295,-0.050286,0.297007,0.980466,-0.018140,-0.092623,-0.172561
0.180957,0.142295,-0.050286,0.297007,0.980466,-0.018140,-0.092623,-0.172561
0.190969,0.142295,-0.050286,0.297007,0.980466,-0.018140,-0.092623,-0.172561
0.201020,0.142295,-0.050286,0.297007,0.980466,-0.018140,-0.092623,-0.172561
0.211072,0.142295,-0.050286,0.297007,0.980466,-0.018140,-0.092623,-0.172561
0.221124,0.142295,-0.050286,0.297007,0.980466,-0.018140,-0.092623,-0.172561
