t,q1,q2,q3,q4,q5,q6
0.000000,0.011269,-0.008325,0.029489,0.042077,0.001335,-0.005913
0.010056,0.011269,-0.008325,0.029489,0.042077,0.001335,-0.005913
0.020218,0.011269,-0.008325,0.029489,0.042077,0.001335,-0.005913
0.030272,0.011269,-0.008325,0.029489,0.042077,0.001335,-0.005913
0.040325,0.011269,-0.008325,0.029489,0.042077,0.001335,-0.005913
0.050380,0.011269,-0.008325,0.029489,0.042077,0.001335,-0.005913
0.060444,0.011269,-0.008325,0.029489,0.042077,0.001335,-0.005913
0.070508,0.011269,-0.008325,0.029489,0.042077,0.001335,-0.005913
0.080543,0.011269,-0.008325,0.029489,0.042077,0.001335,-0.005913
0.090596,0.011269,-0.008325,0.029489,0.042077,0.001335,-0.005913
0.100647,0.011269,-0.008325,0.029489,0.042077,0.001335,-0.005913
0.110698,0.011269,-0.008325,0.029489,0.042077,0.001335,-0.005913
0.120748,0.011269,-0.008325,0.029489,0.042077,0.001335,-0.005913
0.130799,0.011269,-0.008325,0.029489,0.042077,0.001335,-0.005913
0.140849,0.011269,-0.008325,0.029489,0.042077,0.001335,-0.005913
0.150900,0.011269,-0.008325,0.029489,0.042077,0.001335,-0.005913
0.160951,0.011269,-0.008325,0.029489,0.042077,0.001335,-0.005913
0.171002,0.011269,-0.008325,0.029489,0.042077,0.001335,-0.005913
0.181053,0.011269,-0.008325,0.029489,0.042077,0.001335,-0.005913
0.191104,0.011269,-0.008325,0.029489,0.042077,0.001335,-0.005913
0.201155,0.011269,-0.008325,0.029489,0.042077,0.001335,-0.005913
0.211206,0.011269,-0.008325,0.029489,0.042077,0.001335,-0.005913
0.221257,0.011269,-0.008325,0.029489,0.042077,0.001335,-0.005913
0.231375,0.011269,-0.008325,0.029489,0.042077,0.001335,-0.005913
0.241426,0.011269,-0.008325,0.029489,0.042077,0.001335,-0.005913
0.251477,0.011269,-0.008325,0.029489,0.042077,0.001335,-0.005913
0.261528,0.011269,-0.008325,0.029489,0.042077,0.001335,-0.005913
0.271580,0.011269,-0.008325,0.029489,0.042077,0.001335,-0.005913
0.281631,0.011269,-0.008327,0.029514,0.042055,0.001335,-0.005913
0.291658,0.011269,-0.008332,0.029561,0.042012,0.001335,-0.005913
0.301710,0.011269,-0.008337,0.029612,0.041966,0.001335,-0.005913
0.311762,0.011269,-0.008342,0.029668,0.041916,0.001335,-0.005913
0.321814,0.011270,-0.008347,0.029724,0.041865,0.001335,-0.005913
0.331866,0.011270,-0.008353,0.029784,0.041810,0.001335,-0.005913
0.341917,0.011270,-0.008359,0.029850,0.041751,0.001335,-0.005913
0.351968,0.011270,-0.008366,0.029920,0.041688,0.001335,-0.005913
0.362020,0.011270,-0.008373,0.029994,0.041620,0.001334,-0.005913
0.372085,0.011270,-0.008380,0.030069,0.041553,0.001334,-0.005913
0.382138,0.011270,-0.008388,0.030152,0.041477,0.001334,-0.005913
0.392189,0.011271,-0.008396,0.030237,0.041400,0.001334,-0.005913
0.402241,0.011271,-0.008404,0.030326,0.041319,0.001333,-0.005913
0.412293,0.011271,-0.008412,0.030420,0.041234,0.001333,-0.005913
0.422344,0.011272,-0.008421,0.030519,0.041143,0.001333,-0.005914
0.432395,0.011272,-0.008431,0.030624,0.041049,0.001332,-0.005914
0.442446,0.011273,-0.008441,0.030733,0.040949,0.001332,-0.005914
0.452497,0.011273,-0.008451,0.030847,0.040845,0.001331,-0.005914
0.462548,0.011274,-0.008461,0.030967,0.040736,0.001330,-0.005914
0.472600,0.011275,-0.008472,0.031091,0.040622,0.001330,-0.005914
0.482651,0.011276,-0.008483,0.031221,0.040504,0.001329,-0.005915
0.492704,0.011277,-0.008495,0.031356,0.040381,0.001328,-0.005915
0.502755,0.011278,-0.008507,0.031496,0.040252,0.001327,-0.005915
0.512806,0.011279,-0.008519,0.031641,0.040119,0.001325,-0.005915
0.522858,0.011281,-0.008531,0.031793,0.039980,0.001324,-0.005916
0.532909,0.011282,-0.008544,0.031950,0.039835,0.001323,-0.005916
0.542961,0.011284,-0.008557,0.032112,0.039686,0.001321,-0.005917
0.553012,0.011286,-0.008570,0.032281,0.039530,0.001319,-0.005917
0.563064,0.011288,-0.008583,0.032455,0.039369,0.001317,-0.005918
0.573115,0.011290,-0.008597,0.032636,0.039202,0.001315,-0.005918
0.583167,0.011293,-0.008611,0.032827,0.039026,0.001312,-0.005919
0.593219,0.011296,-0.008625,0.033018,0.038848,0.001310,-0.005920
0.603272,0.011299,-0.008639,0.033217,0.038664,0.001307,-0.005920
0.613324,0.011302,-0.008654,0.033426,0.038469,0.001303,-0.005921
0.623375,0.011306,-0.008669,0.033641,0.038269,0.001300,-0.005922
0.633476,0.011310,-0.008683,0.033858,0.038067,0.001296,-0.005923
0.643527,0.011314,-0.008698,0.034086,0.037853,0.001292,-0.005924
0.653579,0.011318,-0.008713,0.034320,0.037634,0.001288,-0.005926
0.663630,0.011323,-0.008728,0.034561,0.037408,0.001283,-0.005927
