t,ex,ey,ez,e_pos,e_ang
0.000000,0.001704,0.001133,-0.012612,0.012777,0.060450
0.010052,0.001704,0.001133,-0.012612,0.012777,0.060450
0.020106,0.001707,0.001142,-0.012612,0.012778,0.060452
0.030165,0.001704,0.001133,-0.012612,0.012777,0.060450
0.040219,0.001707,0.001142,-0.012612,0.012778,0.060452
0.050275,0.001704,0.001133,-0.012612,0.012777,0.060450
0.060336,0.001704,0.001133,-0.012612,0.012777,0.060450
0.070390,0.001704,0.001133,-0.012612,0.012777,0.060450
0.080446,0.001707,0.001142,-0.012612,0.012778,0.060452
0.090501,0.001707,0.001142,-0.012612,0.012778,0.060452
0.100556,0.001704,0.001133,-0.012612,0.012777,0.060450
0.110619,0.001704,0.001133,-0.012612,0.012777,0.060450
0.120675,0.001704,0.001133,-0.012612,0.012777,0.060450
0.130742,0.001707,0.001142,-0.012612,0.012778,0.060452
0.140807,0.001704,0.001133,-0.012612,0.012777,0.060450
0.150872,0.001704,0.001133,-0.012612,0.012777,0.060450
0.160937,0.001704,0.001133,-0.012612,0.012777,0.060450
0.170998,0.001707,0.001142,-0.012612,0.012778,0.060452
0.181063,0.001707,0.001142,-0.012612,0.012778,0.060398
0.191125,0.001707,0.001142,-0.012612,0.012778,0.060398
0.201189,0.001704,0.001133,-0.012612,0.012777,0.060397
0.211252,0.001707,0.001142,-0.012612,0.012778,0.060398
0.221315,0.001707,0.001142,-0.012612,0.012778,0.060398
0.231376,0.001704,0.001133,-0.012612,0.012777,0.060397
0.241438,0.001704,0.001133,-0.012612,0.012777,0.060397
0.251499,0.001704,0.001133,-0.012612,0.012777,0.060397
0.261564,0.001723,0.001188,-0.012612,0.012785,0.060389
0.271626,0.001726,0.001196,-0.012612,0.012786,0.060393
0.281689,0.001723,0.001188,-0.012618,0.012791,0.060389
0.291751,0.001726,0.001196,-0.012630,0.012803,0.060393
0.301816,0.001704,0.001133,-0.012643,0.012807,0.060397
0.311877,0.001726,0.001196,-0.012657,0.012830,0.060393
0.321940,0.001723,0.001188,-0.012671,0.012842,0.060389
0.331994,0.001726,0.001196,-0.012686,0.012858,0.060393
0.342046,0.001726,0.001196,-0.012702,0.012874,0.060393
0.352099,0.001723,0.001188,-0.012719,0.012890,0.060389
0.362160,0.001723,0.001188,-0.012738,0.012908,0.060389
0.372225,0.001723,0.001188,-0.012756,0.012927,0.060389
0.382290,0.001726,0.001196,-0.012777,0.012949,0.060393
0.392352,0.001723,0.001188,-0.012798,0.012968,0.060389
0.402415,0.001723,0.001188,-0.012820,0.012990,0.060389
0.412478,0.001724,0.001188,-0.012844,0.013013,0.060389
0.422542,0.001724,0.001188,-0.012868,0.013037,0.060389
0.432602,0.001727,0.001196,-0.012894,0.013064,0.060393
0.442664,0.001724,0.001188,-0.012921,0.013090,0.060389
0.452726,0.001724,0.001188,-0.012950,0.013118,0.060389
0.462787,0.001725,0.001188,-0.012979,0.013147,0.060389
0.472851,0.001725,0.001188,-0.013010,0.013178,0.060389
0.482913,0.001725,0.001188,-0.013043,0.013210,0.060389
0.492977,0.001726,0.001188,-0.013076,0.013243,0.060389
0.503038,0.001729,0.001196,-0.013111,0.013278,0.060393
0.513091,0.001730,0.001196,-0.013147,0.013314,0.060393
0.523146,0.001727,0.001188,-0.013185,0.013350,0.060442
0.533201,0.001731,0.001196,-0.013224,0.013390,0.060446
0.543254,0.001728,0.001188,-0.013264,0.013429,0.060442
0.553307,0.001710,0.001133,-0.013306,0.013463,0.060450
0.563361,0.001711,0.001133,-0.013350,0.013507,0.060450
0.573415,0.001712,0.001133,-0.013395,0.013551,0.060450
0.583442,0.001716,0.001142,-0.013442,0.013599,0.060452
0.593463,0.001717,0.001142,-0.013490,0.013647,0.060452
0.603526,0.001715,0.001133,-0.013539,0.013695,0.060450
0.613591,0.001716,0.001133,-0.013592,0.013746,0.060450
0.623655,0.001717,0.001133,-0.013645,0.013799,0.060450
0.633719,0.001722,0.001142,-0.013699,0.013854,0.060452
0.643775,0.001723,0.001142,-0.013756,0.013910,0.060452
0.653837,0.001722,0.001133,-0.013814,0.013967,0.060450
0.663901,0.001724,0.001133,-0.013874,0.014027,0.060450
0.673963,0.001726,0.001133,-0.013936,0.014088,0.060450
0.684017,0.001731,0.001142,-0.014000,0.014152,0.060452
0.694172,0.001730,0.001133,-0.014065,0.014216,0.060450
0.704225,0.001736,0.001142,-0.014133,0.014285,0.060452
0.714278,0.001739,0.001142,-0.014201,0.014353,0.060452
0.724331,0.001741,0.001142,-0.014273,0.014424,0.060452
0.734384,0.001742,0.001133,-0.014346,0.014496,0.060450
0.744436,0.001748,0.001142,-0.014421,0.014571,0.060452
0.754490,0.001751,0.001142,-0.014498,0.014648,0.060452
0.764543,0.001755,0.001142,-0.014576,0.014726,0.060452
0.774595,0.001756,0.001133,-0.014657,0.014805,0.060450
0.784649,0.001761,0.001133,-0.014739,0.014887,0.060450
0.794702,0.001768,0.001142,-0.014825,0.014974,0.060452
0.804756,0.001773,0.001142,-0.014911,0.015060,0.060452
0.814808,0.001778,0.001142,-0.015001,0.015149,0.060398
0.824861,0.001784,0.001142,-0.015092,0.015240,0.060452
0.834915,0.001790,0.001142,-0.015185,0.015332,0.060452
0.844967,0.001793,0.001133,-0.015280,0.015426,0.060450
0.855020,0.001810,0.001142,-0.015476,0.015624,0.060452
0.865072,0.001817,0.001142,-0.015578,0.015725,0.060452
0.875124,0.001825,0.001142,-0.015682,0.015829,0.060452
0.885178,0.001820,0.001137,-0.015656,0.015802,0.060072
0.895235,0.001828,0.001137,-0.015763,0.015910,0.060072
0.905330,0.001830,0.001149,-0.015742,0.015890,0.059696
0.915395,0.001829,0.001153,-0.015721,0.015869,0.059318
0.925457,0.001828,0.001157,-0.015704,0.015853,0.058940
0.935520,0.001803,0.001160,-0.015424,0.015572,0.057804
0.945585,0.001803,0.001164,-0.015411,0.015560,0.057426
0.955649,0.001847,0.001153,-0.015185,0.015341,0.056671
0.965714,0.001840,0.001169,-0.015044,0.015201,0.055917
0.975779,0.001819,0.001181,-0.014773,0.014932,0.054726
0.985842,0.001810,0.001189,-0.014637,0.014796,0.053971
0.995906,0.001790,0.001201,-0.014371,0.014531,0.052838
1.005970,0.001704,0.001237,-0.014057,0.014214,0.051329
1.016034,0.001684,0.001249,-0.013795,0.013954,0.050197
1.026099,0.001677,0.001258,-0.013669,0.013828,0.049443
1.036163,0.001658,0.001270,-0.013412,0.013574,0.048313
1.046226,0.001630,0.001216,-0.013290,0.013445,0.047570
1.056289,0.001602,0.001242,-0.012906,0.013064,0.046064
1.066353,0.001597,0.001251,-0.012789,0.012949,0.045312
1.076414,0.001561,0.001210,-0.012543,0.012697,0.044199
1.086477,0.001557,0.001219,-0.012431,0.012587,0.043522
1.096541,0.001522,0.001179,-0.012189,0.012340,0.042418
1.106605,0.001501,0.001134,-0.012082,0.012228,0.041693
1.116669,0.001468,0.001094,-0.011845,0.011986,0.040600
1.126733,0.001448,0.001049,-0.011743,0.011879,0.039886
1.136796,0.001443,0.001000,-0.011776,0.011906,0.039549
1.146859,0.001406,0.000902,-0.011679,0.011798,0.038889
1.156921,0.001403,0.000852,-0.011717,0.011831,0.038566
1.166987,0.001368,0.000754,-0.011625,0.011729,0.037936
1.177048,0.001353,0.000710,-0.011535,0.011636,0.037261
1.187111,0.001320,0.000612,-0.011448,0.011540,0.036664
1.197175,0.001335,0.000558,-0.011628,0.011718,0.036738
1.207237,0.001338,0.000509,-0.011678,0.011766,0.036452
1.217299,0.001339,0.000452,-0.011731,0.011816,0.036238
1.227361,0.001320,0.000421,-0.011522,0.011605,0.035178
1.237426,0.001307,0.000319,-0.011578,0.011656,0.035012
1.247488,0.001315,0.000270,-0.011639,0.011716,0.034758
1.257551,0.001324,0.000221,-0.011701,0.011778,0.034511
1.267613,0.001302,0.000124,-0.011634,0.011707,0.034038
1.277668,0.001348,0.000124,-0.011833,0.011910,0.034038
1.287721,0.001382,0.000129,-0.011903,0.011984,0.033687
1.297774,0.001395,0.000072,-0.011976,0.012057,0.033568
1.307827,0.001406,0.000096,-0.011786,0.011870,0.032423
1.317880,0.001445,0.000102,-0.011863,0.011951,0.032078
1.327893,0.001474,0.000050,-0.011979,0.012069,0.032213
1.337944,0.001516,0.000056,-0.012060,0.012155,0.031870
1.348016,0.001561,0.000061,-0.012145,0.012245,0.031399
1.358076,0.001562,0.000082,-0.011835,0.011938,0.030036
1.368136,0.001627,0.000082,-0.011996,0.012106,0.030375
1.378196,0.001662,0.000092,-0.011955,0.012071,0.029697
1.388255,0.001714,0.000098,-0.012049,0.012171,0.029360
1.398318,0.001753,0.000109,-0.012013,0.012141,0.028688
1.408378,0.001794,0.000120,-0.011978,0.012113,0.028021
1.418440,0.001845,0.000128,-0.011983,0.012125,0.027690
1.428500,0.001837,0.000158,-0.012036,0.012177,0.027030
1.438560,0.001904,0.000172,-0.012081,0.012232,0.026901
1.448622,0.001950,0.000175,-0.012057,0.012215,0.026377
